Name,Filing Date,Word Length_category,c1,c2,c3,c4,ticker,Word Length_sentiment,negative,positive,uncertainty,litigious,strongmodal,weakmodal,constraining,internet
COLDWATER CREEK INC,1/29/97,105,0.0,4.761904762,0.0,0.0,CWTR,106.0,0.0,0.0,0.028301887,0.009433962,0.009433962,0.0,0.0,0
CAREDATA COM INC,1/29/97,491,2.647657841,5.295315682,0.203665988,0.610997963,MDMD,492.0,0.016260163,0.004065041,0.012195122,0.00203252,0.008130080999999999,0.0,0.008130080999999999,0
PHOTOELECTRON CORP,1/29/97,171,0.0,1.169590643,0.5847953220000001,0.5847953220000001,PECX,173.0,0.0,0.005780347,0.052023121,0.005780347,0.023121387,0.0,0.01734104,0
"EPIX PHARMACEUTICALS, INC.",1/30/97,187,1.069518717,2.673796791,0.534759358,2.139037433,EPIX,189.0,0.0,0.010582011,0.026455026,0.021164021,0.015873016,0.021164021,0.021164021,0
MEDIALINK WORLDWIDE INC,1/30/97,66,6.0606060610000005,3.03030303,0.0,0.0,MDLK,66.0,0.0,0.0,0.015151515,0.015151515,0.0,0.03030303,0.0,0
METRO INFORMATION SERVICES INC,1/30/97,162,1.234567901,3.086419753,0.0,2.469135802,MISI,164.0,0.0,0.0,0.036585366,0.0,0.012195122,0.018292683,0.006097561,0
SCPIE HOLDINGS INC,1/30/97,50,0.0,0.0,2.0,0.0,SKP,50.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0
TEMPLATE SOFTWARE INC,1/30/97,119,2.521008403,4.201680672,0.8403361340000001,1.680672269,TMPL,121.0,0.0,0.008264463,0.016528926,0.008264463,0.008264463,0.008264463,0.0,0
CERUS CORP,1/31/97,170,1.176470588,1.764705882,0.588235294,3.529411765,CERS,173.0,0.005780347,0.0,0.046242775,0.011560694,0.0,0.011560694,0.01734104,0
MEDICAL MANAGER CORP,1/31/97,154,2.597402597,6.493506494,0.0,0.0,MMGR,156.0,0.0,0.012820513,0.038461538,0.006410256,0.044871795,0.0,0.0,0
NATIONAL AUTO FINANCE CO INC,1/31/97,151,0.0,4.635761589,0.0,0.0,NAFI,152.0,0.006578947,0.0,0.039473684,0.013157895,0.026315789,0.0,0.0,0
ERGOBILT INC,2/3/97,228,0.438596491,3.947368421,0.0,0.0,ERGB,229.0,0.0,0.008733624,0.03930131,0.004366812,0.021834061,0.0,0.017467249,0
HOMESIDE INTERNATIONAL INC,2/3/97,88,1.136363636,4.545454545,0.0,0.0,HSL,88.0,0.0,0.0,0.0,0.011363636000000002,0.0,0.011363636000000002,0.0,0
TRIGON HEALTHCARE INC,2/3/97,113,2.654867257,0.884955752,0.884955752,1.769911504,TGH,113.0,0.0,0.026548673,0.03539823,0.0,0.03539823,0.0,0.008849558,0
VERICEL CORP,2/4/97,136,0.0,2.9411764710000003,0.735294118,2.205882353,ASTM,139.0,0.007194245,0.0,0.043165468,0.014388489,0.007194245,0.014388489,0.021582734,0
EPIQ SYSTEMS INC,2/5/97,374,0.267379679,2.139037433,0.0,1.336898396,EPIQ,375.0,0.002666667,0.005333333000000001,0.04,0.005333333000000001,0.021333333,0.008,0.010666667,0
VIEWCAST COM INC,2/5/97,485,1.649484536,2.886597938,0.412371134,1.443298969,MMAC,488.0,0.012295082,0.018442623,0.040983607000000005,0.004098361,0.014344262,0.014344262,0.012295082,0
BRUNSWICK TECHNOLOGIES INC,2/6/97,349,2.005730659,3.151862464,0.5730659029999999,2.29226361,BTIC,351.0,0.0,0.022792023,0.034188034,0.005698005999999999,0.01994302,0.005698005999999999,0.011396011,0
YURIE SYSTEMS INC,2/6/97,75,4.0,2.666666667,0.0,1.333333333,YURI,76.0,0.0,0.0,0.026315789,0.013157895,0.039473684,0.013157895,0.0,0
DIGITAL LIGHTWAVE INC,2/7/97,183,1.092896175,2.732240437,0.546448087,3.825136612,DIGL,185.0,0.0,0.021621622000000004,0.021621622000000004,0.0,0.021621622000000004,0.016216216000000002,0.005405405,0
FOUR MEDIA CO,2/7/97,305,2.62295082,2.950819672,0.0,1.31147541,FOUR,307.0,0.003257329,0.013029316,0.016286645,0.006514658,0.009771987,0.006514658,0.006514658,0
PREFERRED EMPLOYERS HOLDINGS INC,2/7/97,190,1.052631579,2.631578947,0.0,3.157894737,PEGI,193.0,0.0,0.0,0.041450777,0.005181347,0.020725389,0.015544041,0.015544041,0
GENERAL BEARING CORP,2/10/97,358,1.117318436,1.955307263,0.837988827,3.631284916,GNRL,363.0,0.002754821,0.013774105,0.03030303,0.005509642,0.013774105,0.019283747,0.005509642,0
HEALTH GRADES INC,2/10/97,247,2.834008097,7.692307692000001,0.0,4.048582996,SCNI,254.0,0.0,0.003937008,0.023622047,0.0,0.011811024,0.007874016,0.0,0
COAST DENTAL SERVICES INC,2/11/97,200,1.5,3.5,0.0,1.0,CDEN,201.0,0.0,0.0,0.019900498,0.0,0.014925373,0.0,0.009950249,0
CIENA CORP,2/11/97,160,1.875,2.5,0.625,3.75,CIEN,162.0,0.0,0.0,0.012345678999999998,0.00617284,0.00617284,0.00617284,0.012345678999999998,0
"ALERE SAN DIEGO, INC.",2/12/97,361,1.662049861,4.709141273999999,1.108033241,0.27700831,BSTE,364.0,0.002747253,0.005494505,0.013736264,0.0,0.010989011000000002,0.005494505,0.005494505,0
GLOBAL MED TECHNOLOGIES INC,2/12/97,505,0.5940594060000001,2.772277228,0.5940594060000001,2.97029703,GLOBU,515.0,0.005825243000000001,0.005825243000000001,0.031067961,0.0,0.021359223,0.013592233,0.009708738,0
QUALIX GROUP INC,2/12/97,115,0.869565217,3.47826087,0.869565217,0.869565217,QLIX,117.0,0.0,0.008547009,0.017094017,0.008547009,0.008547009,0.008547009,0.0,0
BIRMAN MANAGED CARE INC,2/13/97,247,0.809716599,2.429149798,0.0,0.809716599,BMAN,248.0,0.012096774,0.004032258,0.016129031999999998,0.012096774,0.016129031999999998,0.008064515999999999,0.012096774,0
DAOU SYSTEMS INC,2/13/97,78,1.282051282,3.846153846,0.0,0.0,DAOU,79.0,0.0,0.0,0.012658228,0.012658228,0.0,0.012658228,0.0,0
GENTLE DENTAL SERVICE CORP,2/13/97,201,3.482587065,4.975124378,0.0,0.497512438,GNTL,202.0,0.004950495,0.004950495,0.004950495,0.004950495,0.004950495,0.0,0.0,0
INDEPENDENCE BREWING CO,2/13/97,362,0.276243094,4.419889503,0.0,1.657458564,IBCO,365.0,0.008219178,0.0,0.035616438,0.002739726,0.01369863,0.008219178,0.008219178,0
RADIANT SYSTEMS INC,2/13/97,361,1.662049861,4.709141273999999,1.108033241,0.27700831,RADS,364.0,0.002747253,0.005494505,0.013736264,0.0,0.010989011000000002,0.005494505,0.005494505,0
WESLEY JESSEN VISIONCARE INC,2/13/97,133,0.0,5.263157895,0.0,0.0,WJCO,133.0,0.0,0.007518797,0.022556391,0.0,0.0,0.0,0.0,0
"AMEDIA NETWORKS, INC.",2/14/97,660,1.363636364,3.333333333,0.303030303,1.96969697,TTRF,665.0,0.013533835,0.010526316,0.039097744,0.007518797,0.012030075,0.010526316,0.009022556,0
AESP INC,2/18/97,412,0.485436893,4.126213592,0.0,1.941747573,AESP,414.0,0.012077295,0.009661836,0.016908213000000002,0.004830918,0.009661836,0.007246376999999998,0.009661836,0
JUDGE GROUP INC,2/18/97,179,2.234636872,4.4692737430000005,0.0,0.558659218,JUDG,181.0,0.005524861999999999,0.0,0.033149171,0.0,0.011049724,0.016574586000000002,0.0,0
MICRO THERAPEUTICS INC,2/19/97,120,0.0,1.666666667,0.833333333,4.166666667,MTIX,122.0,0.008196721,0.0,0.040983607000000005,0.016393443,0.016393443,0.0,0.008196721,0
OLD POINT.360,2/19/97,194,3.092783505,3.608247423,0.0,1.030927835,VDIM,195.0,0.0,0.0,0.01025641,0.005128205,0.020512821,0.0,0.015384615,0
COMPLETE WELLNESS CENTERS INC,2/20/97,357,0.0,3.921568627,0.0,0.280112045,CMWL,362.0,0.013812155,0.013812155,0.035911602,0.005524861999999999,0.019337017,0.005524861999999999,0.013812155,0
"REDCATS USA, INC.",2/21/97,97,0.0,6.18556701,0.0,1.030927835,BYL,97.0,0.0,0.0,0.010309278,0.010309278,0.0,0.0,0.0,0
CUMBERLAND MOUNTAIN BANCSHARES INC,2/21/97,364,0.549450549,4.945054945,0.0,0.8241758240000001,CMBN,364.0,0.005494505,0.010989011000000002,0.010989011000000002,0.010989011000000002,0.019230769,0.013736264,0.019230769,0
ILEX ONCOLOGY INC,2/21/97,323,1.547987616,1.857585139,2.476780186,2.167182663,ILXO,330.0,0.012121212,0.036363636,0.012121212,0.024242424,0.018181818,0.009090909,0.015151515,0
MARKET FINANCIAL CORP,2/21/97,269,0.3717472120000001,1.858736059,0.0,0.0,MRKF,269.0,0.0,0.0,0.018587361,0.003717472,0.037174721,0.011152416,0.0074349440000000015,0
OVERLAND STORAGE INC,2/21/97,117,2.564102564,3.418803419,0.0,0.854700855,OVRL,118.0,0.0,0.0,0.025423729,0.008474576,0.033898305,0.008474576,0.0,0
U S RENTALS INC,2/21/97,84,1.19047619,10.71428571,0.0,1.19047619,USR,85.0,0.011764706000000002,0.0,0.035294118,0.011764706000000002,0.023529412000000003,0.011764706000000002,0.0,0
"DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS, INC.",2/25/97,295,1.694915254,2.033898305,0.33898305100000004,1.016949153,DTPI,297.0,0.003367003,0.01010101,0.023569024,0.01010101,0.02020202,0.01010101,0.016835017,0
HEMLOCK FEDERAL FINANCIAL CORP,2/25/97,559,0.357781753,4.114490161,0.0,0.53667263,HMLK,559.0,0.003577818,0.008944544,0.012522361,0.012522361,0.026833631,0.012522361,0.012522361,0
MICHIGAN HERITAGE BANCORP INC,2/25/97,200,0.5,6.5,0.0,1.0,MHBC,201.0,0.0,0.004975124,0.024875622000000003,0.009950249,0.034825871,0.014925373,0.004975124,0
NACT TELECOMMUNICATIONS INC,2/26/97,138,1.4492753619999998,4.347826087,0.7246376809999999,2.898550725,NACT,140.0,0.0,0.014285714,0.042857143,0.007142857,0.014285714,0.007142857,0.0,0
SPECIAL METALS CORP,2/26/97,175,0.0,6.285714286,0.0,4.571428571,SMCX,178.0,0.0,0.0,0.011235955,0.0,0.016853933,0.011235955,0.011235955,0
"DELTEK, INC",2/26/97,99,1.01010101,3.03030303,0.0,2.02020202,DLTK,101.0,0.0,0.0,0.01980198,0.00990099,0.00990099,0.00990099,0.00990099,0
EDGE PETROLEUM CORP,2/27/97,120,1.666666667,8.333333332999999,1.666666667,2.5,EPEX,122.0,0.0,0.0,0.040983607000000005,0.0,0.016393443,0.0,0.0,0
FIRST AVIATION SERVICES INC,2/28/97,215,3.255813953,4.186046512,0.0,2.325581395,FAVS,216.0,0.009259259,0.00462963,0.00462963,0.00462963,0.013888889,0.00462963,0.009259259,0
GENERAL CIGAR HOLDINGS INC,2/28/97,111,1.801801802,3.603603604,0.0,1.801801802,MPP,111.0,0.009009009,0.0,0.036036036,0.009009009,0.009009009,0.0,0.009009009,0
SUPERIOR SUPPLEMENTS INC,2/28/97,328,0.609756098,1.829268293,0.0,1.524390244,SPSUU,330.0,0.0,0.003030303,0.03030303,0.003030303,0.024242424,0.015151515,0.015151515,0
VISTANA INC,2/28/97,167,0.598802395,6.586826347000001,0.0,0.598802395,VSTN,168.0,0.005952381,0.0,0.023809524,0.011904762,0.023809524,0.0,0.0,0
AVIATION DISTRIBUTORS INC,3/4/97,147,0.0,4.081632653,0.0,4.081632653,ADIN,148.0,0.0,0.0,0.02027027,0.02027027,0.027027027,0.006756757,0.0,0
AMERITRADE ONLINE HOLDINGS CORP,3/4/97,119,3.361344538,3.361344538,0.0,1.680672269,AMTD,119.0,0.0,0.0,0.042016807,0.0,0.042016807,0.008403361,0.0,0
CORGI INTERNATIONAL LTD,3/4/97,108,0.0,1.851851852,0.0,3.703703704,ZNDTY,109.0,0.0,0.0,0.073394495,0.009174312,0.018348624,0.009174312,0.0,0
RIVIERA TOOL CO,3/5/97,196,2.5510204080000003,4.591836735,1.020408163,0.510204082,RTC,199.0,0.010050251,0.0,0.015075377,0.010050251,0.010050251,0.005025126,0.0,0
COVANSYS CORP,3/6/97,159,1.886792453,3.773584906,1.257861635,0.628930818,CBSL,161.0,0.0,0.0,0.01242236,0.0,0.01242236,0.00621118,0.00621118,0
ATL PRODUCTS INC,3/7/97,215,0.0,2.790697674,0.930232558,2.325581395,ATLPA,217.0,0.0,0.013824885,0.01843318,0.00921659,0.032258065,0.004608295,0.023041475,0
EMCORE CORP,3/7/97,202,0.99009901,4.455445545,0.0,5.445544554,EMKR,206.0,0.0,0.004854369,0.019417476,0.004854369,0.038834951,0.009708738,0.009708738,0
OPKO HEALTH INC.,3/7/97,184,1.086956522,3.260869565,0.543478261,0.543478261,KOSP,186.0,0.005376344,0.0,0.02688172,0.005376344,0.010752688,0.010752688,0.005376344,0
NATIONWIDE FINANCIAL SERVICES INC/,3/7/97,95,0.0,2.105263158,0.0,0.0,NFS,95.0,0.0,0.0,0.010526316,0.0,0.021052632,0.0,0.0,0
TOTAL CONTROL PRODUCTS INC,3/11/97,249,1.204819277,4.8192771080000005,0.0,1.6064257030000002,TCPS,250.0,0.004,0.0,0.028,0.008,0.012,0.0,0.004,0
PLUMA INC,3/12/97,83,0.0,4.8192771080000005,0.0,6.024096386,PLU,84.0,0.0,0.011904762,0.011904762,0.011904762,0.023809524,0.011904762,0.011904762,0
PROMEDCO MANAGEMENT CO,3/12/97,100,0.0,3.0,1.0,1.0,PMCO,101.0,0.00990099,0.0,0.03960396,0.0,0.02970297,0.0,0.0,0
ARTECON INC /DE/,3/12/97,133,0.7518796990000001,3.007518797,0.0,2.255639098,STDM,135.0,0.0,0.0,0.014814815,0.007407406999999999,0.0,0.014814815,0.014814815,0
MACROVISION CORP,3/13/97,103,1.941747573,1.941747573,0.0,0.970873786,MVSN,104.0,0.0,0.0,0.028846154,0.009615385,0.019230769,0.009615385,0.009615385,0
"GUITAR CENTER, INC.",3/14/97,178,3.93258427,2.808988764,0.0,0.561797753,GTRC,178.0,0.011235955,0.011235955,0.04494382,0.0,0.039325843,0.011235955,0.005617978,0
NEOMAGIC CORP,3/14/97,158,0.632911392,1.265822785,0.632911392,1.898734177,NMGC,161.0,0.0,0.0,0.02484472,0.00621118,0.00621118,0.00621118,0.00621118,0
NEWSTATE HOLDINGS INC,3/14/97,226,0.0,4.424778761000001,0.884955752,0.442477876,RCOM,231.0,0.021645022000000003,0.008658009,0.008658009,0.0,0.021645022000000003,0.004329004,0.004329004,0
"ABSOLUTE POTENTIAL, INC.",3/17/97,504,2.380952381,2.1825396830000003,0.0,2.579365079,VCLLU,505.0,0.001980198,0.015841584,0.031683168,0.007920792,0.013861386000000002,0.011881188,0.005940594,0
COLONIAL HOLDINGS INC,3/20/97,332,0.602409639,2.4096385540000003,0.0,3.012048193,CDWN,334.0,0.008982036,0.0029940120000000003,0.020958084,0.0,0.020958084,0.0,0.008982036,0
ENDOCARDIAL SOLUTIONS INC,3/20/97,130,0.0,2.307692308,0.0,1.5384615380000002,ECSI,132.0,0.0,0.0,0.045454545,0.015151515,0.03030303,0.0,0.015151515,0
KONTRON MOBILE COMPUTING INC,3/20/97,404,0.495049505,4.95049505,0.0,1.98019802,FWRX,413.0,0.00968523,0.007263923,0.033898305,0.007263923,0.024213075,0.00968523,0.00968523,0
PHYSICIANS SPECIALTY CORP,3/21/97,384,1.822916667,5.208333333,0.0,1.302083333,ENTS,388.0,0.00257732,0.005154639,0.018041237,0.012886598,0.007731959,0.0,0.0,0
PALEX INC,3/21/97,293,0.34129692799999994,5.119453925,0.0,1.023890785,PALX,294.0,0.003401361,0.0,0.037414966,0.003401361,0.017006803,0.003401361,0.003401361,0
OMNIQUIP INTERNATIONAL INC,3/24/97,174,0.574712644,5.1724137930000005,0.0,0.0,OMQP,174.0,0.0,0.005747126,0.028735632,0.0,0.017241378999999998,0.0,0.0,0
HAMILTON BANCORP INC,3/26/97,43,0.0,0.0,2.325581395,0.0,HABK,43.0,0.0,0.0,0.023255814,0.023255814,0.0,0.0,0.0,0
AHL SERVICES INC,3/27/97,229,2.183406114,3.056768559,0.436681223,0.0,AHLS,230.0,0.0,0.008695652,0.043478261,0.004347826,0.0,0.008695652,0.0,0
SPIGADORO INC,3/27/97,355,0.563380282,3.943661972,0.281690141,1.690140845,IATA,360.0,0.0,0.002777778,0.022222222000000003,0.0,0.016666667,0.011111111000000002,0.002777778,0
PEOPLES SIDNEY FINANCIAL CORP,3/27/97,530,0.5660377360000001,5.094339623,0.188679245,0.5660377360000001,PSFC,530.0,0.005660376999999999,0.016981132,0.016981132,0.01509434,0.026415094,0.018867925,0.013207547,0
CHICAGO BRIDGE & IRON CO N V,3/28/97,34,0.0,0.0,0.0,0.0,CBI,34.0,0.0,0.0,0.029411765,0.0,0.029411765,0.0,0.0,0
HCB BANCSHARES INC,3/28/97,412,0.242718447,2.912621359,0.0,0.0,HCBB,412.0,0.0,0.004854369,0.019417476,0.007281553,0.036407767,0.007281553,0.012135922,0
COMMODORE SEPARATION TECHNOLOGIES INC,4/4/97,617,0.648298217,3.079416532,0.162074554,2.431118314,CXOT,624.0,0.001602564,0.019230769,0.030448718,0.003205128,0.016025641,0.011217949,0.012820513,0
GULF ISLAND FABRICATION INC,4/4/97,190,1.052631579,2.631578947,0.0,4.736842105,GIFI,191.0,0.0,0.005235602,0.015706806,0.020942408,0.02617801,0.005235602,0.0,0
ROCKY FORD FINANCIAL INC,4/4/97,498,0.401606426,2.4096385540000003,0.0,0.0,RFFC,498.0,0.0020080320000000003,0.008032129,0.018072289,0.010040161,0.024096386,0.004016064000000001,0.020080321,0
MEADE INSTRUMENTS CORP,4/9/97,264,0.0,5.681818182000001,0.0,0.378787879,MEAD,265.0,0.003773585,0.0,0.018867925,0.011320755,0.00754717,0.0,0.011320755,0
NEXAR TECHNOLOGIES INC,4/9/97,212,1.41509434,2.830188679,0.471698113,3.301886792,NEXR,213.0,0.004694836,0.023474178,0.014084507,0.023474178,0.009389671,0.009389671,0.014084507,0
PEREGRINE SYSTEMS INC,4/9/97,131,0.763358779,4.580152672,0.763358779,0.763358779,PRGN,133.0,0.007518797,0.0,0.015037594,0.007518797,0.007518797,0.007518797,0.007518797,0
BIO KEY INTERNATIONAL INC,4/9/97,516,0.0,2.325581395,0.19379845,3.682170543,SACM,523.0,0.003824092,0.003824092,0.03250478,0.011472275,0.015296367,0.0,0.0076481840000000014,0
VALLEY NATIONAL GASES INC,4/10/97,165,2.424242424,5.454545455,0.606060606,3.03030303,VNGI,165.0,0.0,0.0,0.03030303,0.018181818,0.042424242,0.0,0.006060606,0
ACCELGRAPHICS INC,4/11/97,157,2.547770701,2.547770701,1.910828025,3.1847133760000004,ACCL,160.0,0.0,0.0,0.01875,0.0,0.00625,0.00625,0.0125,0
BEA SYSTEMS INC,4/14/97,218,2.293577982,4.128440367,0.0,0.458715596,BEAS,220.0,0.0,0.0,0.027272727000000004,0.018181818,0.040909091,0.004545455,0.031818182,0
ASI SOLUTIONS INC,4/16/97,200,1.0,2.5,0.0,3.5,ASIS,201.0,0.0,0.004975124,0.039800995,0.004975124,0.014925373,0.009950249,0.004975124,0
DECRANE AIRCRAFT HOLDINGS INC,4/17/97,411,0.0,4.379562044,0.0,0.729927007,DAHX,411.0,0.00243309,0.00486618,0.01703163,0.00243309,0.02919708,0.0,0.00243309,0
EGGHEAD COM INC/DE,4/18/97,124,2.419354839,1.612903226,0.806451613,4.032258065,ONSL,125.0,0.0,0.0,0.008,0.008,0.0,0.008,0.008,0
ESSEX INTERNATIONAL INC /,4/18/97,107,0.934579439,8.411214953,0.0,0.0,SXC,107.0,0.0,0.0,0.009345794,0.009345794,0.018691589,0.009345794,0.0,0
GO2NET INC,4/23/97,283,1.7667844519999998,1.7667844519999998,0.35335689,3.533568905,GNET,288.0,0.003472222,0.017361111000000002,0.03125,0.003472222,0.013888889,0.017361111000000002,0.013888889,1
BIONX IMPLANTS INC,4/25/97,244,0.409836066,3.68852459,0.0,3.278688525,BINX,245.0,0.0,0.004081633,0.032653061000000004,0.016326531000000002,0.032653061000000004,0.004081633,0.008163265,0
UNIVEC INC,4/25/97,370,0.27027027,4.324324324,0.27027027,2.972972973,UNVC,376.0,0.013297872,0.002659574,0.015957447,0.005319149,0.02393617,0.002659574,0.005319149,0
HERTZ CORP,4/28/97,48,0.0,6.25,0.0,0.0,HRZ,48.0,0.0,0.020833333,0.0,0.0,0.041666667,0.0,0.0,0
LONG BEACH FINANCIAL CORP,4/29/97,8,0.0,0.0,0.0,0.0,LBFC,8.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0
GENERAL CREDIT CORP,4/29/97,361,0.0,8.310249307000001,0.0,0.27700831,LOANU,364.0,0.002747253,0.005494505,0.010989011000000002,0.0,0.013736264,0.008241758,0.008241758,0
INTERNATIONAL COMPUTEX INC,5/1/97,337,0.890207715,2.37388724,0.296735905,2.077151335,ICIQ,339.0,0.0,0.002949853,0.02359882,0.005899705,0.014749263,0.002949853,0.005899705,0
"SCHIFF NUTRITION INTERNATIONAL, INC.",5/1/97,163,0.613496933,4.90797546,0.0,0.0,WNI,163.0,0.0,0.0,0.042944785,0.0,0.0,0.0,0.0,0
BROOKDALE LIVING COMMUNITIES INC,5/5/97,273,1.465201465,3.296703297,0.366300366,2.564102564,BLCI,274.0,0.0,0.00729927,0.054744526,0.018248175,0.003649635,0.0,0.00729927,0
DTM CORP /TX/,5/5/97,115,0.0,8.695652174,0.0,0.0,DTMC,116.0,0.0,0.0,0.025862069,0.00862069,0.034482759,0.0,0.017241378999999998,0
FTM MEDIA INC,5/7/97,210,1.428571429,2.857142857,0.476190476,0.0,RWBD,214.0,0.009345794,0.014018692,0.018691589,0.0,0.03271028,0.018691589,0.014018692,0
"GLOBAL MATRECHS, INC.",5/8/97,263,1.901140684,3.422053232,0.380228137,4.1825095060000015,HCOM,265.0,0.0,0.003773585,0.01509434,0.003773585,0.011320755,0.011320755,0.00754717,0
JOURNAL REGISTER CO,5/8/97,198,0.0,2.525252525,0.0,0.0,JRC,198.0,0.01010101,0.005050505,0.03030303,0.01010101,0.04040404,0.0,0.01010101,0
BRIGHAM EXPLORATION CO,5/9/97,163,1.226993865,1.840490798,0.613496933,3.680981595,BEXP,163.0,0.0,0.0,0.024539877,0.0,0.018404908,0.018404908,0.012269939,0
BOBBY ALLISON WIRELESS CORP,5/9/97,285,0.0,1.052631579,0.0,3.50877193,CNTCU,288.0,0.020833333,0.006944444,0.038194444,0.006944444,0.024305556,0.0,0.010416667,0
RAMBUS INC,5/14/97,131,1.5267175569999998,1.5267175569999998,0.763358779,4.580152672,RMBS,133.0,0.0,0.007518797,0.022556391,0.007518797,0.022556391,0.007518797,0.015037594,0
AMAZON COM INC,5/15/97,147,2.040816327,2.040816327,0.680272109,2.040816327,AMZN,149.0,0.006711409000000001,0.006711409000000001,0.026845638,0.006711409000000001,0.006711409000000001,0.006711409000000001,0.006711409000000001,1
HAWAIIAN NATURAL WATER CO INC,5/15/97,527,0.7590132829999999,5.5028463,0.189753321,2.087286528,HNWC,530.0,0.01509434,0.016981132,0.028301887,0.003773585,0.013207547,0.005660376999999999,0.003773585,0
SIERRACITIES COM INC,5/16/97,122,2.459016393,3.278688525,0.0,2.459016393,FSFH,122.0,0.0,0.0,0.024590164,0.008196721,0.024590164,0.0,0.0,0
GENERAL CABLE CORP /DE/,5/16/97,14,0.0,0.0,0.0,0.0,GCN,14.0,0.0,0.0,0.0,0.071428571,0.14285714300000002,0.0,0.0,0
"SG BLOCKS, INC.",5/16/97,386,0.518134715,3.886010363,0.259067358,1.554404145,PCFRU,393.0,0.007633588,0.012722646,0.03307888,0.012722646,0.027989822,0.012722646,0.012722646,0
SUPER NOVA RESOURCES INC.,5/19/97,262,0.0,3.816793893,0.0,2.290076336,ASDG,263.0,0.007604563000000002,0.011406844,0.053231939000000006,0.007604563000000002,0.022813688,0.003802281,0.015209125,0
BLUEFLY INC,5/20/97,37,0.0,8.108108108,0.0,2.702702703,PVTRU,38.0,0.0,0.0,0.078947368,0.0,0.026315789,0.0,0.026315789,0
COMMUNITY FIRST BANKING CO,5/22/97,653,0.45941807,3.675344564,0.306278714,0.612557427,CFBC,653.0,0.003062787,0.012251149,0.009188361,0.019908116,0.030627871,0.015313936,0.015313936,0
HARTFORD LIFE INC,5/22/97,137,0.0,6.569343066,0.0,0.0,HLI,137.0,0.0,0.0,0.01459854,0.0,0.02189781,0.00729927,0.0,0
NEI WEBWORLD INC,5/22/97,281,0.711743772,4.270462633,0.0,2.135231317,NEIP,286.0,0.0,0.006993007,0.01048951,0.003496503,0.017482517,0.003496503,0.006993007,0
SUMMIT HOLDING SOUTHEAST INC,5/22/97,80,0.0,1.25,0.0,0.0,SHSE,80.0,0.0,0.0125,0.0375,0.0,0.0375,0.0,0.05,0
