company_name,issue_date,search_vol_avg,search_avail
sonic automotive inc,1997-11-10,,0
sonic automotive inc,1997-11-10,,0
logility inc,1997-10-07,,0
toymax international inc,1997-10-20,,0
drilquip inc,1997-10-22,,0
outsource international inc,1997-10-24,,0
capital senior living corp,1997-10-30,,0
jevic transportation inc,1997-10-07,,0
vlps lighting services international inc,1997-10-16,,0
zymetx inc,1997-10-29,,0
timios national corp,1997-11-04,,0
american skiing co /me,1997-11-06,,0
intervu inc,1997-11-19,,0
macgray corp,1997-10-16,,0
neutral posture ergonomics inc,1997-10-20,,0
abovenet inc,1997-10-28,,0
rock of ages corp,1997-10-21,,0
white cap industries inc,1997-10-22,,0
tropical sportswear international corp,1997-10-28,,0
mmc networks inc,1997-10-28,,0
amf bowling inc,1997-11-03,,0
t&w financial corp,1997-11-04,,0
encompass services corp,1997-11-06,,0
petroglyph energy inc,1997-10-20,,0
rsl communications ltd,1997-09-30,,0
diversified senior services inc,1998-01-09,,0
priority healthcare corp,1997-10-24,,0
beringer wine estates holdings inc,1997-10-28,,0
dental care alliance inc,1997-11-04,,0
bayard drilling technologies inc,1997-11-04,,0
precision auto care inc,1997-11-06,,0
franchise mortgage acceptance co,1997-11-18,,0
province healthcare company llc,1998-02-10,,0
kofax image products inc,1997-10-10,,0
international manufacturing services inc,1997-10-22,,0
transcoastal marine services inc,1997-10-30,,0
linc capital inc,1997-11-05,,0
friendly ice cream corp,1997-11-14,,0
queryobject systems corp,1997-11-20,,0
affiliated managers group inc,1997-11-20,,0
healthworld corp,1997-11-21,,0
lets talk cellular & wireless inc,1997-11-24,,0
young innovations inc,1997-11-04,,0
gametech international inc,1997-11-25,,0
novacare employee services inc,1997-11-11,,0
ubics inc,1997-10-30,,0
iri international corp,1997-11-13,,0
spectrum brands inc,1997-11-20,,0
electric lightwave inc,1997-11-24,,0
pericom semiconductor corp,1997-10-31,,0
somnus medical technologies inc,1997-11-06,,0
metrogoldwynmayer inc,1997-11-12,,0
power integrations inc,1997-12-12,,0
hypercom corp,1997-11-14,,0
imagemax inc,1997-12-03,,0
homeusa inc,1997-11-21,,0
excel switching corp,1997-11-04,,0
u s vision inc,1997-12-01,,0
hybrid networks inc,1997-11-12,,0
conning inc,1997-12-15,,0
enherent corp,1997-11-20,,0
building one services corp,1997-11-25,,0
brass eagle inc,1997-11-26,,0
international home foods inc,1997-11-18,,0
holts cigar holdings inc,1997-11-24,,0
pacifichealth laboratories inc,1997-12-19,,0
birner dental management services inc,1998-02-11,,0
dan river inc /ga/,1997-11-20,,0
realnetworks inc,1997-11-21,,0
bioanalytical systems inc,1997-11-24,,0
omni energy services corp,1997-12-04,,0
big city radio inc,1997-12-19,,0
global telesystems inc,1998-02-04,,0
itc deltacom inc,1997-10-23,,0
charles & colvard ltd,1997-11-14,,0
geospace technologies corp,1997-11-20,,0
usweb corp,1997-12-05,,0
paper warehouse inc,1997-11-24,,0
mpw industrial services group inc,1997-12-02,,0
preview travel inc,1997-11-19,,0
condor technology solutions inc,1998-02-05,,0
iomed llc,1998-04-23,,0
motor cargo industries inc,1997-11-24,,0
compass international services corp,1998-02-27,,0
amkor technology inc,1998-04-30,,0
ore pharmaceutical holdings inc,1997-11-21,,0
midway airlines corp,1997-12-04,,0
interleukin genetics inc,1997-11-26,,0
broughton foods co,1997-12-08,,0
howmet international inc,1997-11-25,,0
applied micro circuits corp,1997-11-25,,0
gabriel technologies corp,1997-12-16,,0
information advantage inc,1997-12-17,,0
remy international inc,1997-12-17,,0
official payments holdings inc,1997-12-17,,0
career education corp,1998-01-28,,0
worldpages com inc,1998-02-12,,0
balanced care corp,1998-02-12,,0
combichem inc,1998-05-08,,0
curagen corp,1998-03-18,,0
cvc inc,1999-11-12,,0
thermo vision corp,1997-12-10,,0
mademanage systems inc,1997-12-18,,0
vysis inc,1998-02-04,,0
headlands mortgage co,1998-02-04,,0
focal inc,1997-12-11,,0
spectra physics inc,1997-12-11,,0
flexiinternational software inc/ct,1997-12-12,,0
usn communications inc,1998-02-03,,0
icon cmt corp,1998-02-12,,0
acsys inc,1998-02-05,,0
xponential inc,1998-03-17,,0
ies holdings inc,1998-01-26,,0
aquapenn spring water company inc,1998-01-30,,0
geneva financial corp,1998-02-18,,0
bnc mortgage inc,1998-03-11,,0
us dry cleaning services corp,1998-04-29,,0
access worldwide communications inc,1998-02-12,,0
ribogene inc / ca/,1998-05-28,,0
friedman billings ramsey group inc,1997-12-23,,0
merge healthcare inc,1998-01-29,,0
globaldigitalcommerce com inc,1998-02-24,,0
dollar thrifty automotive group inc,1997-12-16,,0
dispatch management services corp,1998-02-06,,0
tam restaurants inc,1998-02-10,,0
american dental partners inc,1998-04-15,,0
united pan am financial corp,1998-04-23,,0
symphonix devices inc,1998-02-13,,0
hlm design inc,1998-06-12,,0
sm&a,1998-01-28,,0
verisign inc/ca,1998-01-29,,0
mercury systems inc,1998-01-29,,0
artisan components inc,1998-02-02,,0
 contacts inc,1998-02-09,,0
first consulting group inc,1998-02-13,,0
pc connection inc,1998-03-03,,0
duane reade inc,1998-02-09,,0
integrated sensor solutions inc,1998-03-13,,0
pentacon inc,1998-03-09,,0
visual networks inc,1998-02-05,,0
steelcase inc,1998-02-17,,0
nutraceutical international corp,1998-02-20,,0
shoe pavilion inc,1998-02-24,,0
keebler foods co,1998-01-28,,0
micromuse inc,1998-02-12,,0
associated materials llc,1998-02-26,,0
harvey electronics inc,1998-03-31,,0
tousa inc,1998-03-12,,0
doubleclick inc,1998-02-20,,0
innotrac corp,1998-05-06,,0
astropower inc,1998-02-12,,0
viagrafix corp,1998-03-04,,0
extended systems inc,1998-03-04,,0
gsv inc,1998-03-23,,0
ngen inc,1998-04-13,,0
championship liquidating trust,1998-03-10,,0
banneker inc,1998-04-08,,0
surmodics inc,1998-03-03,,0
csk auto corp,1998-03-11,,0
grand court lifestyles inc,1998-03-13,,0
columbia sportswear co,1998-03-26,,0
brightstar information technology group inc,1998-04-16,,0
wh energy services inc,2000-10-10,,0
ljl biosystems inc,1998-03-13,,0
waddell & reed financial inc,1998-03-04,,0
dset corp,1998-03-13,,0
command systems inc,1998-03-13,,0
horizon offshore inc,1998-04-01,,0
kuboo inc,1998-04-24,,0
evolving systems inc,1998-05-11,,0
reltec corp,1998-03-12,,0
cowlitz bancorporation,1998-03-12,,0
docucorp international inc,1998-02-24,,0
exds inc,1998-03-18,,0
internet security systems inc/ga,1998-03-23,,0
sherwood brands inc,1998-05-07,,0
tucker anthony sutro,1998-04-02,,0
omega protein corp,1998-04-02,,0
frisby technologies inc,1998-04-01,,0
onix systems inc,1998-03-25,,0
broadcom corp,1998-04-16,,0
broadcom corp,1998-04-16,,0
provant inc,1998-04-28,,0
horizon medical products inc,1998-04-14,,0
us lec llc,1998-04-23,,0
tristar aerospace co,1998-04-30,,0
tristar aerospace co,1998-04-30,,0
interpace diagnostics group inc,1998-05-19,,0
cunningham graphics international inc,1998-04-22,,0
industrial rubber products inc,1998-04-24,,0
rock financial corp/mi/,1998-05-01,,0
cra international inc,1998-04-23,,0
united road services inc,1998-05-01,,0
young & rubicam inc,1998-05-11,,0
panacos pharmaceuticals inc,1998-06-10,,0
manhattan associates inc,1998-04-23,,0
verio inc,1998-05-11,,0
l communications holdings inc,1998-05-18,,0
brio software inc,1998-04-30,,0
gerber childrenswear inc,1998-06-10,,0
genesis direct inc,1998-05-07,,0
school specialty inc,1998-06-09,,0
navigant international inc,1998-06-09,,0
nvidia corp,1999-01-21,,0
blue rhino corp,1998-05-19,,0
voiceflash networks inc,1998-05-28,,0
resortquest international inc,1998-05-20,,0
marinemax inc,1998-06-03,,0
ultimate software group inc,1998-06-02,,0
hastings entertainment inc,1998-06-11,,0
costar group inc,1998-07-01,,0
axt inc,1998-05-20,,0
hackett group inc,1998-05-28,,0
adelphia business solutions inc,1998-05-04,,0
landcare usa inc,1998-06-04,,0
unigraphics solutions inc,1998-06-17,,0
del monte foods co,1999-02-04,,0
sauer danfoss inc,1998-05-11,,0
federated investors inc /pa/,1998-05-13,,0
carreker corp,1998-05-20,,0
interplay entertainment corp,1998-06-19,,0
american aircarriers support inc,1998-05-28,,0
atlantic data services inc,1998-05-22,,0
capstar broadcasting corp,1998-05-26,,0
rainbow rentals inc,1998-06-05,,0
natco group inc,2000-01-27,,0
clicklearn inc/de/,1998-06-12,,0
mpower communications corp,1998-05-11,,0
national equipment services inc,1998-07-14,,0
cleveland indians baseball co inc,1998-06-04,,0
abgenix inc,1998-07-02,,0
tw telecom inc,1999-05-11,,0
balance bar co,1998-06-02,,0
master graphics inc,1998-06-10,,0
conrad industries inc,1998-06-10,,0
cognizant technology solutions corp,1998-06-19,,0
intrado inc,1998-06-24,,0
creditrust corp,1998-07-29,,0
inktomi corp,1998-06-09,,0
bebe stores inc,1998-06-16,,0
aurora foods inc /de/,1998-06-25,,0
technisource inc,1998-06-25,,0
eclipsys corp,1998-08-06,,0
next generation technology holdings inc,1998-11-12,,0
netgravity inc,1998-06-11,,0
restoration hardware inc,1998-06-18,,0
international integration inc,1998-06-22,,0
citadel communications corp,1998-06-30,,0
collateral therapeutics inc,1998-07-02,,0
motorcars auto group inc,1998-08-03,,0
gamco investors inc et al,1999-02-10,,0
beyond com corp,1998-06-17,,0
lmi aerospace inc,1998-06-29,,0
horizon organic holding corp,1998-07-02,,0
golden state vintners inc,1998-07-21,,0
troy group inc,1999-07-21,,0
adams golf inc,1998-07-09,,0
american bank note holographics inc,1998-07-14,,0
hines horticulture inc,1998-06-22,,0
natrol inc,1998-07-22,,0
cost u less inc,1998-07-23,,0
classic vacation group inc,1998-07-31,,0
broadcast com inc,1998-07-16,,0
hometown auto retailers inc,1998-07-28,,0
giga information group inc,1998-07-29,,0
towne services inc,1998-07-30,,0
allegiance telecom inc,1998-06-30,,0
hungry minds inc /de/,1998-07-27,,0
railworks corp,1998-07-29,,0
northeast optic network inc,1998-07-30,,0
marketing specialists corp,1998-12-15,,0
american axle & manufacturing holdings inc,1999-01-28,,0
vialog corp,1999-02-05,,0
concentrix cvg corp,1998-08-12,,0
ientertainment network inc,1998-07-22,,0
carrier access corp,1998-07-30,,0
softworks inc,1998-08-04,,0
actuate corp,1998-07-17,,0
echelon corp,1998-07-27,,0
cyberian outpost inc,1998-07-31,,0
datalink corp,1999-08-06,,0
in ovations holdings inc,1998-08-11,,0
/ real media inc,1998-08-13,,0
maxtor corp,1998-07-30,,0
nationsrent inc,1998-08-07,,0
merrill merchants bancshares inc,1998-08-10,,0
microfinancial inc,1999-02-05,,0
republic bancorp inc /ky/,1998-07-21,,0
catapult communications corp,1999-02-11,,0
information holdings inc,1998-08-06,,0
geocities,1998-08-10,,0
digital river inc /de,1998-08-11,,0
clark inc,1998-08-19,,0
terayon communication systems,1998-08-18,,0
entrust inc,1998-08-17,,0
insurance management solutions group inc,1999-02-11,,0
new american healthcare corp,1998-08-20,,0
centrus energy corp,1998-07-22,,0
ubid inc,1998-12-03,,0
albany molecular research inc,1999-02-04,,0
able energy inc,1999-06-21,,0
ebay inc,1998-09-24,,0
internet america inc,1998-12-10,,0
corinthian colleges inc,1999-02-04,,0
network technologies inc,1998-11-12,,0
exchange applications inc,1998-12-09,,0
theglobe com inc,1998-11-12,,0
p f changs china bistro inc,1998-12-04,,0
ceb inc,1999-02-23,,0
heidrick & struggles international inc,1999-04-27,,0
inet technologies inc,1999-05-26,,0
conocophillips holding co,1998-10-21,,0
tut systems inc,1999-01-28,,0
reddy ice group inc,1999-01-29,,0
perot systems corp,1999-02-01,,0
dice inc,1998-11-10,,0
entercom communications corp,1999-01-28,,0
fox entertainment group inc,1998-11-10,,0
e tek dynamics inc,1998-12-01,,0
korn ferry,1999-02-10,,0
concur technologies inc,1998-12-16,,0
xoom inc,1998-12-09,,0
accredo health inc,1999-04-15,,0
newgen results corp,1999-05-21,,0
sleep number corp,1998-12-04,,0
pcorder com inc,1999-02-25,,0
abovenet communications inc,1998-12-10,,0
ecometry corp,1999-01-29,,0
argosy education group inc,1999-03-08,,0
fednat holding co,1998-11-05,,0
infinity broadcasting corp /de/,1998-12-09,,0
nextera enterprises inc,1999-05-18,,0
mony group inc,1998-11-10,,0
covad communications group inc,1999-01-21,,0
plains all american pipeline lp,1998-11-17,,0
barnesandnoble com inc,1999-05-25,,0
prodigy communications corp,1999-02-10,,0
immtech pharmaceuticals inc,1999-04-26,,0
miix group inc,1999-07-30,,0
marketwatch media inc,1999-01-15,,0
netsolve inc,1999-09-29,,0
evci career colleges holding corp,1999-02-23,,0
genesisintermedia inc,1999-06-14,,0
bottomline technologies inc /de/,1999-02-12,,0
delphi corp,1999-02-04,,0
fatbrain com inc,1998-11-19,,0
serena software inc,1999-02-11,,0
modem media inc,1999-02-04,,0
verticalnet inc,1999-02-10,,0
vignette corp,1999-02-18,,0
onyx software corp/wa,1999-02-11,,0
allaire corp,1999-01-22,,0
life technologies corp,1999-02-26,,0
rowecom inc,1999-03-08,,0
ivillage inc,1999-03-18,,0
cnx resources corp,1999-04-30,,0
webtrends corp,1999-02-19,,0
intraware inc,1999-02-25,,0
flashnet communications inc,1999-03-16,,0
valley media inc,1999-03-26,,0
ziff davis inc,1999-03-30,,0
neon systems inc,1999-03-05,,0
boyds collection ltd,1999-03-05,,0
booking holdings inc,1999-03-29,,0
about inc,1999-03-24,,0
onemain com inc,1999-03-25,,0
compucredit corp,1999-04-22,,0
tc pipelines lp,1999-05-24,,0
pepsi bottling group inc,1999-03-30,,0
hlth corp,1999-02-10,,0
multex com inc,1999-03-17,,0
autoweb inc,1999-03-26,,0
usinternetworking inc,1999-04-08,,0
cheap tickets inc,1999-03-19,,0
value america inc /va,1999-04-08,,0
razorfish inc,1999-04-26,,0
delia s corp,1999-04-09,,0
mks instruments inc,1999-03-29,,0
critical path inc,1999-03-29,,0
destia communications inc,1999-05-05,,0
plx technology inc,1999-04-05,,0
ravenswood winery inc,1999-04-08,,0
ab watley group inc,1999-04-20,,0
provantage health services inc,1999-07-14,,0
extreme networks inc,1999-04-08,,0
stamford industrial group inc,1999-04-22,,0
flycast communications corp,1999-05-04,,0
netobjects inc,1999-05-07,,0
ixl enterprises inc,1999-06-02,,0
worldgate communications inc,1999-04-15,,0
appliedtheory corp,1999-04-30,,0
national medical health card systems inc,1999-07-28,,0
ssp solutions inc,1999-06-09,,0
seminis inc,1999-06-29,,0
proxicom inc,1999-04-19,,0
marimba inc,1999-04-29,,0
rhythms net connections inc,1999-04-06,,0
launch media inc,1999-04-23,,0
hearme,1999-04-29,,0
stancorp financial group inc,1999-04-15,,0
etoys inc,1999-05-19,,0
buca inc /mn,1999-04-21,,0
transcoastal corp,1999-04-06,,0
informatica llc,1999-04-28,,0
mapquest com inc,1999-05-03,,0
davids bridal inc,1999-05-21,,0
george foreman enterprises inc,1999-07-07,,0
ardent communications inc,1999-05-20,,0
thestreet inc,1999-05-10,,0
jmxi inc,1999-05-07,,0
comps com inc,1999-05-05,,0
latitude communications inc,1999-05-06,,0
portal software inc,1999-05-05,,0
biznessonline com inc/de,1999-05-12,,0
copper mountain networks inc,1999-05-12,,0
nautilus inc,1999-05-04,,0
wesco international inc,1999-05-11,,0
onesource information services inc,1999-05-19,,0
netradio corp,1999-10-14,,0
juno online services inc,1999-05-25,,0
drkoop com inc,1999-06-08,,0
careerbuilder inc,1999-05-11,,0
tenfold corp /ut,1999-05-20,,0
fashionmall com inc,1999-05-21,,0
manhattan bridge capital inc,1999-05-12,,0
alloy inc,1999-05-14,,0
pantry inc,1999-06-09,,0
maker communications inc,1999-05-10,,0
bankrate inc,1999-05-13,,0
ziplink inc,1999-05-26,,0
tuesday morning corp/de,1999-04-21,,0
radio one inc,1999-05-05,,0
women first healthcare inc,1999-06-28,,0
interliant inc,1999-07-07,,0
goldman sachs group inc,1999-05-03,,0
redback networks inc,1999-05-17,,0
at plan inc,1999-05-20,,0
maxus technology corp,1999-06-22,,0
cyclelogic inc,1999-05-25,,0
soundview technology group inc,1999-06-04,,0
nextcard inc,1999-05-14,,0
zany brainy inc,1999-06-03,,0
network access solutions corp,1999-06-04,,0
high speed access corp,1999-06-04,,0
high speed access corp,1999-06-04,,0
online resources corp,1999-06-04,,0
us concrete inc,1999-05-25,,0
prism financial corp,1999-05-25,,0
e loan inc,1999-06-28,,0
ditech networks inc,1999-06-09,,0
rubios restaurants inc,1999-05-21,,0
careinsite inc,1999-06-15,,0
great elm capital group inc,1999-06-10,,0
appnet inc /de/,1999-06-17,,0
globespanvirata inc,1999-06-23,,0
edgar online inc,1999-05-26,,0
interact commerce corp,1999-05-27,,0
liquent inc,1999-06-16,,0
mypoints com inc,1999-08-19,,0
lennox international inc,1999-07-28,,0
f networks inc,1999-06-04,,0
student advantage inc,1999-06-18,,0
viant corp,1999-06-17,,0
clarent corp/de,1999-07-01,,0
therma wave inc,2000-02-03,,0
us search corp com,1999-06-25,,0
software com inc,1999-06-23,,0
streamline com inc,1999-06-17,,0
mecklermedia corp,1999-06-25,,0
paradyne networks inc,1999-07-16,,0
overture services inc,1999-06-18,,0
ramp networks inc,1999-06-22,,0
yankee candle co inc,1999-07-01,,0
j global inc,1999-07-23,,0
northpoint communications group inc,1999-05-05,,0
sba communications corp,1999-06-16,,0
salon media group inc,1999-06-22,,0
salem media group inc /de/,1999-07-01,,0
watchguard technologies inc,1999-07-30,,0
juniper networks inc,1999-06-24,,0
sun community bancorp ltd,1999-07-02,,0
netscout systems inc,1999-08-12,,0
ariba inc,1999-06-22,,0
persistence software inc,1999-06-24,,0
nfront inc,1999-06-29,,0
