permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd
10024,7663,1/29/86,5/11/92,DOCUGRAPHIX INC,25590410,DOCX,3
10025,7975,1/30/86,1/20/17,A E P INDUSTRIES INC,103110,AEPI,3
10026,7976,2/4/86,12/31/18,J & J SNACK FOODS CORP,46603210,JJSF,3
10027,7977,2/4/86,3/28/90,TELECOMMUNICATIONS NETWORK INC,87928510,TNII,3
10028,7978,2/5/86,6/24/86,CANYON STATE CORP,23323G10,MINT,3
10028,7978,6/25/86,8/24/88,AMERICAN PACIFIC MINT INC,23323G10,MINT,3
10028,7978,8/25/88,3/17/92,AMERICAN PACIFIC MINT INC,23323G10,MINT,3
10028,7978,3/18/92,7/23/92,AMERICAN PACIFIC MINT INC,23323G10,DLS,2
10028,7978,7/24/92,6/29/99,DALLAS GOLD & SILVER EXCHANGE I,23323G10,DLS,2
10028,7978,6/30/99,7/4/01,DALLAS GOLD & SILVER EXCHANGE I,23323G10,DGSE,3
10028,7978,7/5/01,10/30/07,D G S E COMPANIES INC,23323G10,DGSE,3
10028,7978,10/31/07,8/16/09,D G S E COMPANIES INC,23323G10,DGC,2
10028,7978,8/17/09,4/17/12,D G S E COMPANIES INC,23323G10,DGSE,2
10028,7978,4/18/12,11/14/12,D G S E COMPANIES INC,23323G10,DGSE,-2
10028,7978,11/15/12,12/31/18,D G S E COMPANIES INC,23323G10,DGSE,2
10029,7979,2/5/86,12/30/87,A I F S INC,136610,AIFS,3
10029,7979,12/31/87,8/29/90,A I F S INC,136610,AIF,2
10030,22160,12/31/25,4/26/43,AMERICAN BRAKE SHOE & FDRY,338690,,1
10030,22160,4/27/43,7/1/62,AMERICAN BRAKE SHOE CO,338690,,1
10030,22160,7/2/62,5/5/66,AMERICAN BRAKE SHOE CO,338690,ABK,1
10030,22160,5/6/66,12/26/68,ABEX CORP,338690,ABK,1
10031,6672,12/7/83,8/16/89,A A IMPORTING INC,35410,ANTQ,3
10032,7980,2/5/86,12/31/18,PLEXUS CORP,72913210,PLXS,3
10033,7981,2/5/86,11/28/86,MIDAMERICA BANCSYSTEM INC,59591410,MABK,3
10034,7982,2/6/86,9/27/91,HOME & CITY SVGS BK ALBANY NY,43687810,HCSB,3
10035,7983,2/6/86,12/19/03,GOOD GUYS INC,38209110,GGUY,3
10036,7984,2/6/86,3/6/91,NEUROTECH CORP,64090210,NURO,3
10037,7985,2/6/86,11/29/88,FRANKLIN S & L ASSN STHPLD MI,35242V10,FSLA,3
10037,7985,11/30/88,9/2/91,FRANKLIN SAVINGS BANK FSB,35242V10,FSVB,3
10037,7985,9/3/91,10/23/02,FRANKLIN BANK NATL ASSOC,35242V10,FSVB,3
10037,7985,10/24/02,5/28/04,FRANKLIN BANCORP INC,35242V10,FBCP,3
10038,7986,2/6/86,5/20/90,PORTS OF CALL INC,69348J10,POCI,3
10038,7986,5/21/90,1/29/91,P O C I INC,69348J10,POCI,3
10039,7987,2/7/86,4/2/00,XIOX CORP,00208K10,XIOX,3
10039,7987,4/3/00,6/26/01,AT COMM CORP,00208K10,ATCM,3
10040,7988,2/7/86,6/20/88,HARVARD SECURITIES GROUP PLC,41741F20,HARVY,3
10040,7988,6/21/88,6/15/89,HARVARD GROUP PLC,41741F20,HARVY,3
10041,7989,2/7/86,5/16/90,4G DATA SYSTEMS INC,35084910,GGGG,3
10042,7990,2/7/86,8/18/96,CANYON RESOURCES CORP,13886930,CYNR,3
10042,7990,8/19/96,3/23/00,CANYON RESOURCES CORP,13886930,CAU,2
10042,7990,3/24/00,3/18/08,CANYON RESOURCES CORP,13886930,CAU,2
10043,7991,2/11/86,6/23/99,ANALYSIS & TECHNOLOGY INC,3267210,AATI,3
10044,7992,2/11/86,7/31/88,ROCKY MOUNTAIN CHOCOLATE FAC IN,77467X10,RMCF,3
10044,7992,8/1/88,3/1/15,ROCKY MOUNTAIN CHOCOLATE FAC IN,77467X10,RMCF,3
10044,7992,3/2/15,12/31/18,ROCKY MOUNTAIN CHOC FAC INC NEW,77467X10,RMCF,3
10045,7993,2/11/86,4/16/87,OLIVERS STORES INC,68100210,OLVR,3
10046,7994,2/14/86,7/31/94,COMMERCIAL PROGRAMMING UNLMTD,91354910,CPUIA,3
10046,7994,8/1/94,8/1/94,UNIVERSAL FRANCHISE OPPTYS CORP,91354910,MENUA,3
10046,7994,8/2/94,3/15/95,UNIVERSAL FRANCHISE OPPTYS CORP,91354910,MENU,3
10047,7995,2/11/86,10/22/89,TEXSTYRENE CORP,51362820,FOAM,3
10047,7995,10/23/89,4/15/91,ARIS CORP,51362820,LMNT,3
10047,7995,4/16/91,11/1/92,LAMONTS CORP,51362820,LMNT,3
10047,7995,11/2/92,1/20/95,LAMONTS APPAREL INC,51362820,LMNT,3
10048,7996,2/12/86,7/17/88,CENTURY COMMUNICATIONS CORP,15650310,CCCO,3
10048,7996,7/18/88,1/4/95,CENTURY COMMUNICATIONS CORP,15650310,CTY,2
10048,7996,1/5/95,10/1/99,CENTURY COMMUNICATIONS CORP,15650310,CTYA,3
10049,22161,12/31/25,9/28/32,ABITIBI POWER & PAPER LTD,369890,,1
10050,13,12/29/72,1/2/78,AMERICAN BLDGS CO,74210,ABLD,3
10050,13,1/3/78,6/16/78,A B C INVESTMENT CO,74210,ABCC,3
10051,7999,2/14/86,8/13/89,SEQUEL CORP,41043F20,SEQL,3
10051,7999,8/14/89,11/11/90,HANGER ORTHOPEDIC GROUP INC,41043F20,HOGG,3
10051,7999,11/12/90,1/1/91,HANGER ORTHOPEDIC GROUP INC,41043F20,HNGR,3
10051,7999,1/2/91,4/30/91,HANGER ORTHOPEDIC GROUP INC,41043F20,HNGR,3
10051,7999,5/1/91,12/14/98,HANGER ORTHOPEDIC GROUP INC,41043F20,HGR,2
10051,7999,12/15/98,6/13/12,HANGER ORTHOPEDIC GROUP INC,41043F20,HGR,1
10051,7999,6/14/12,2/26/18,HANGER INC,41043F20,HGR,1
10051,7999,2/27/18,9/11/18,HANGER INC,41043F20,,0
10051,7999,9/12/18,12/31/18,HANGER INC,41043F20,HNGR,1
10052,8000,2/14/86,3/30/88,VIDEO LIBRARY INC,92656610,VLVL,3
10053,8001,2/14/86,1/19/90,CARDINAL INDUSTRIES INC,14190010,CDNI,3
10054,8002,2/14/86,1/22/87,BIO NUTRIONICS INC,09057B10,BNUI,3
10055,8003,2/14/86,1/18/90,GREAT AMERICAN RECREATION INC,39000520,GRAR,3
10055,8003,1/19/90,8/23/95,GREAT AMERICAN RECREATION INC,39000520,GRAR,3
10056,8005,2/14/86,10/19/87,NEW MILFORD SAVINGS BANK,65163310,NMSB,3
10056,8005,10/20/87,10/1/00,NEWMIL BANCORP INC,65163310,NMSB,3
10056,8005,10/2/00,10/6/06,NEWMIL BANCORP INC,65163310,NMIL,3
10057,20020,12/31/25,7/1/62,NATIONAL ACME CO,462610,,1
10057,20020,7/2/62,10/27/68,NATIONAL ACME CO,462610,NCM,1
10057,20020,10/28/68,9/30/91,ACME CLEVELAND CORP,462610,AMT,1
10057,20020,10/1/91,7/2/96,ACME CLEVELAND CORP NEW,462610,AMT,1
10058,20,12/14/72,11/26/74,A B K C O INDUSTRIES INC,77410,ABKC,3
10058,20,11/27/74,1/23/75,A B K C O INDUSTRIES INC,77410,,0
10058,20,1/24/75,9/11/84,A B K C O INDUSTRIES INC,77410,ABKC,3
10059,8006,2/24/86,4/15/94,ORANGE FREE STATE INVESTMENT LT,68486520,OFSLY,3
10060,8007,2/24/86,6/25/98,FREE STATE CONSOL GOLD CO LTD,35614220,FSCNY,3
10061,8008,2/19/86,7/30/90,UNITED SAVINGS BANK VIENNA VA,91138J10,USBK,3
10062,8009,2/19/86,5/12/86,NORTHEAST OHIO AXLE INC,29409K60,NOAX,3
10062,8009,5/13/86,11/14/89,N E O A X INC,29409K60,NOAX,3
10062,8009,11/15/89,6/22/98,ENVIROSOURCE INC,29409K60,ENSO,3
10062,8009,6/23/98,9/1/99,ENVIROSOURCE INC,29409K60,ENSO,3
10063,7842,2/19/86,5/13/87,N M R CENTERS INC,2691310,NMRC,3
10063,7842,5/14/87,7/15/93,AMERICAN HEALTH SVCS CORP,2691310,AHTS,3
10064,8010,2/20/86,11/20/91,TYCO TOYS INC,90212810,TTOY,3
10064,8010,11/21/91,3/27/97,TYCO TOYS INC,90212810,TTI,1
10065,20023,12/31/25,7/1/62,ADAMS EXPRESS CO,621210,,1
10065,20023,7/2/62,1/1/68,ADAMS EXPRESS CO,621210,ADX,1
10065,20023,1/2/68,12/31/18,ADAMS EXPRESS CO,621210,ADX,1
10066,6331,8/25/83,2/26/87,ABM COMPUTER SYS,35472720,ABMC,3
10066,6331,2/27/87,1/29/90,FRANKLIN TELECOMMUNICATIONS COR,35472720,FTCO,3
10066,6331,1/30/90,3/17/99,FRANKLIN TELECOMMUNICATIONS COR,35472720,,0
10066,6331,3/18/99,11/14/01,FRANKLIN TELECOMMUNICATIONS COR,35472720,FCM,2
10066,6331,11/15/01,2/18/02,FRANKLIN TELECOMMUNICATIONS COR,35472720,FCM,-2
10066,6331,2/19/02,8/23/02,FRANKLIN TELECOMMUNICATIONS COR,35472720,FCM,2
10067,8011,2/20/86,3/11/87,HYGEIA SCIENCES INC,44903510,HYGA,3
10068,8012,2/21/86,11/17/86,AMERICAN PROPERTY GROUPS INC,2913410,APGI,3
10069,8013,2/24/86,1/16/87,ACA JOE INTERCON LTD,387110,AJIL,3
10070,8014,2/27/86,11/20/90,DIGITEXT INC,25389410,DIGT,3
10071,8015,2/28/86,3/8/92,ALEX BROWN INC,1390210,ABSB,3
10071,8015,3/9/92,8/29/97,ALEX BROWN INC,1390210,AB,1
10072,8016,2/28/86,1/11/88,DEWS LABORATORIES INC,86563A10,DEWS,3
10072,8016,1/12/88,3/24/91,SUMMA RX LABORATORIES INC,86563A10,SMRX,3
10072,8016,3/25/91,1/30/92,SUMMA RX LABORATORIES INC,86563A10,,0
10072,8016,1/31/92,9/30/92,SUMMA RX LABORATORIES INC,86563A10,SMRX,3
10073,22162,12/31/25,2/8/31,ADVANCE RUMELY CO,799090,,1
10073,22162,2/9/31,7/27/38,ADVANCE RUMELY CORP,799090,,1
10074,5271,1/18/82,3/13/96,A B S INDUSTRIES INC,78110,ABSI,3
10075,8018,3/3/86,9/27/95,V W R CORP,91843510,VWRX,3
10075,8018,9/28/95,7/27/99,V W R SCIENTIFIC PRODUCTS CORP,91843510,VWRX,3
10076,8019,3/3/86,5/31/90,SCAT HOVERCRAFT INC,80618710,SCAT,3
10077,8020,4/10/86,1/10/94,SPROUSE REITZ STORES INC,85207020,STRS,3
10078,8021,3/4/86,8/26/07,SUN MICROSYSTEMS INC,86681020,SUNW,3
10078,8021,8/27/07,11/11/07,SUN MICROSYSTEMS INC,86681020,JAVA,3
10078,8021,11/12/07,1/26/10,SUN MICROSYSTEMS INC,86681020,JAVA,3
10079,8022,3/4/86,3/14/95,GENERAL COMPUTER CORP,36938610,GCCC,3
10080,8024,3/5/86,10/31/03,MOORE HANDLEY INC,61576210,MHCO,3
10081,22163,12/31/25,6/18/31,AHUMADA LEAD CO,899390,,1
10082,5793,3/21/83,7/24/91,A C S ENTERPRISE INC,87230,ACSE,3
10082,5793,7/25/91,12/14/92,A C S ENTERPRISE INC,87230,,0
10082,5793,12/15/92,9/28/95,A C S ENTERPRISES,87230,ACSE,3
10083,8026,3/5/86,2/26/89,TEKNOWLEDGE INC,17185310,TKAI,3
10083,8026,2/27/89,9/9/93,CIMFLEX TEKNOWLEDGE CORP,17185310,CMTK,3
10084,8027,3/5/86,7/18/93,CRAFTMATIC CONTOUR INDS INC,22412810,CRCC,3
10084,8027,7/19/93,3/3/94,CRAFTMATIC INDUSTRIES INC,22412810,CRCC,3
10085,8029,3/6/86,7/1/96,UNITED INSURANCE COS INC,90273710,UICI,3
10085,8029,7/2/96,4/29/99,U I C I,90273710,UICI,3
10085,8029,4/30/99,4/4/06,U I C I,90273710,UCI,1
10086,8030,3/6/86,6/30/94,L S B BANCSHARES INC SC,50215910,LBSC,3
10087,8031,3/6/86,10/18/00,BEAUTICONTROL COSMETICS INC,7465510,BUTI,3
10088,7956,3/6/86,5/23/88,V R BUSINSS BROKERS INC,91828210,VRBB,3
10089,8033,3/7/86,4/20/95,SYNERCOM TECHNOLOGY INC,2078110,SYNR,3
10089,8033,4/21/95,2/28/05,ALPHA TECHNOLOGIES GROUP INC,2078110,ATGI,3
10090,7390,3/7/86,11/29/90,AMERICAN MOBILE SYSTEMS INC,2755950,AMSE,3
10090,7390,11/30/90,7/31/95,AMERICAN MOBILE SYSTEMS INC,2755950,AMSE,3
10091,8034,3/7/86,2/27/89,INTERACTIVE TECHNOLOGIES INC,45837810,ITXI,3
10092,8035,3/7/86,11/16/95,LEISURE CONCEPTS INC,35086510,LCIC,3
10092,8035,11/17/95,9/19/00,4 KIDS ENTERTAINMENT INC,35086510,KIDE,3
10092,8035,9/20/00,5/28/10,4 KIDS ENTERTAINMENT INC,35086510,KDE,1
10093,8036,3/7/86,12/29/87,ASSOCIATED INNS & REST CO AMER,00929H10,AIRC,3
10093,8036,12/30/87,5/3/90,AIRCOA HOSPITALITY SVCS INC,00929H10,AIRC,3
10094,8037,3/7/86,10/31/91,TUESDAY MORNING INC,89903510,TUES,3
10094,8037,11/1/91,12/26/97,TUESDAY MORNING CORP,89903510,TUES,3
10095,8038,3/7/86,12/29/94,SYNERGEN INC,87159410,SYGN,3
10096,8039,3/11/86,3/14/90,CITIZENS BANK NC,17411410,CIBA,3
10097,7907,3/10/86,4/25/88,FACELIFTERS HOME SYSTEMS INC,30303130,FACE,3
10097,7907,4/26/88,8/5/91,FACELIFTERS HOME SYSTEMS INC,30303130,,0
10097,7907,8/6/91,5/2/94,FACELIFTERS HOME SYSTEMS INC,30303130,FACE,3
10097,7907,5/3/94,8/7/94,FACELIFTERS HOME SYSTEMS INC,30303130,FIX,2
10097,7907,8/8/94,4/25/96,FACELIFTERS HOME SYSTEMS INC,30303130,FACE,3
10098,8040,3/11/86,9/2/86,POLY TECH INC,73168010,PTEK,3
10098,8040,9/3/86,4/7/89,POLY TECH INC,73168010,POLY,3
10099,8041,3/11/86,7/9/87,AMERICAN BIOMATERIALS CORP,2461510,ABCI,3
10100,8042,3/11/86,3/22/10,AMERICAN CLAIMS EVALUATION INC,2713510,AMCE,3
10100,8042,3/23/10,3/22/13,AMERICAN LEARNING CORP NY,2713510,ALRN,3
10101,8044,3/12/86,7/8/88,PACER CORP WA,69373C10,PACR,3
10102,22164,12/31/25,7/1/62,AIR REDUCTION INC,929210,,1
10102,22164,7/2/62,1/1/68,AIR REDUCTION INC,929210,AN,1
10102,22164,1/2/68,9/30/71,AIR REDUCTION INC,929210,AN,1
10102,22164,10/1/71,5/5/78,AIRCO INC,929210,AN,1
10103,52,3/23/77,12/27/89,A C S INDUSTRIES INC,87410,ACSC,3
10104,8045,3/12/86,5/31/95,ORACLE SYSTEMS CORP,68389X10,ORCL,3
10104,8045,6/1/95,7/14/13,ORACLE CORP,68389X10,ORCL,3
10104,8045,7/15/13,12/31/18,ORACLE CORP,68389X10,ORCL,1
10105,8046,3/12/86,8/26/87,TOPS MARKETS INC,89053110,TPPS,3
10106,8047,3/12/86,3/13/86,LINCOLN MUTUAL SAVINGS BANK,53473510,LNSB,3
10106,8047,3/14/86,1/5/95,LINCOLN SAVINGS BANK CARNEGIE P,53473510,LNSB,3
10107,8048,3/13/86,12/31/18,MICROSOFT CORP,59491810,MSFT,3
10108,8049,3/13/86,6/3/97,SUNGARD DATA SYSTEMS INC,86736310,SNDT,3
10108,8049,6/4/97,8/11/05,SUNGARD DATA SYSTEMS INC,86736310,SDS,1
10109,8050,3/13/86,8/13/89,FIRST FED S & L ASSN COEUR ID,62450810,FCDA,3
10109,8050,8/14/89,8/27/90,MOUNTAIN WEST SAVINGS BANK F S,62450810,MWSB,3
10110,22165,12/31/25,2/14/31,AJAX RUBR INC,999290,,1
10111,22166,12/14/72,3/21/73,A D A FINANCIAL SERVICE CORP,88410,,3
10112,8053,3/13/86,6/27/88,IFEX INC,45169410,IFEX,3
10113,53202,7/21/10,12/31/18,ADVISORSHARES TRUST,00768Y20,AADR,4
10114,9831,6/22/88,7/25/89,ACCLAIM ENTERTAINMENT INC,432520,AKLM,3
10114,9831,7/26/89,8/27/04,ACCLAIM ENTERTAINMENT INC,432520,AKLM,3
10115,8057,3/14/86,6/2/88,COMMUNITY SAVINGS BANK MA,20404010,CSBN,3
10116,8028,3/14/86,11/29/88,HALSEY DRUG INC,00509L80,HADR,3
10116,8028,11/30/88,4/17/95,HALSEY DRUG INC,00509L80,HDG,2
10116,8028,4/18/95,5/15/95,HALSEY DRUG INC,00509L80,HDG,-2
10116,8028,5/16/95,9/6/00,HALSEY DRUG INC,00509L80,HDG,2
10116,8028,9/7/00,8/12/04,HALSEY DRUG INC,00509L80,,0
10116,8028,8/13/04,12/4/07,ACURA PHARMACEUTICALS INC,00509L80,,0
10116,8028,12/5/07,2/3/08,ACURA PHARMACEUTICALS INC,00509L80,,0
10116,8028,2/4/08,8/27/15,ACURA PHARMACEUTICALS INC,00509L80,ACUR,3
10116,8028,8/28/15,2/22/17,ACURA PHARMACEUTICALS INC,00509L80,ACUR,3
10117,8060,3/17/86,10/9/87,U M B EQUITIES INC,90277910,UMBE,3
10118,8063,3/18/86,11/16/88,CONSOLIDATED HYDRO INC,20934910,COHY,3
10119,8064,3/18/86,9/15/91,20TH CENTURY INDUSTRIES CA,90130N10,TWEN,3
10119,8064,9/16/91,1/2/00,20TH CENTURY INDUSTRIES,90130N10,TW,1
10119,8064,1/3/00,9/27/07,21ST CENTURY INSURANCE GROUP,90130N10,TW,1
10120,8065,3/18/86,2/27/92,PIPER JAFFRAY INC,72408110,PIPR,3
10120,8065,2/28/92,2/11/93,PIPER JAFFRAY INC,72408110,PJC,1
10120,8065,2/12/93,5/1/98,PIPER JAFFRAY COS INC,72408110,PJC,1
10121,8066,3/18/86,12/31/91,MARINE CORP IL,56823410,MCOR,3
10122,8067,3/18/86,8/3/87,MEDFORD SVGS BK MA,58413110,MSBK,3
10122,8067,8/4/87,7/22/93,REGIONAL BANCORP INC,58413110,REGB,3
10122,8067,7/23/93,11/25/97,MEDFORD SAVINGS BANK,58413110,MDBK,3
10122,8067,11/26/97,10/15/02,MEDFORD BANCORP INC,58413110,MDBK,3
10123,9754,4/21/88,9/6/89,ACKERLEY COMMUNICATIONS INC,452710,ACMI,3
11746,22301,7/3/67,1/1/68,E S B INC,26884110,ESB,1
10123,9754,9/7/89,2/20/97,ACKERLEY COMMUNICATIONS INC,452710,AK,2
10123,9754,2/21/97,12/14/97,ACKERLEY GROUP INC,452710,AK,2
10123,9754,12/15/97,6/14/02,ACKERLEY GROUP INC,452710,AK,1
10124,8070,3/19/86,8/6/86,LEARNING TECHNOLOGY INC,52201410,LERN,3
10124,8070,8/7/86,8/17/86,LEARNING TECHNOLOGY INC,52201410,,0
10124,8070,8/18/86,12/7/87,LEARNING TECHNOLOGY INC,52201410,LERN,3
10125,8055,3/20/86,8/31/88,DISCOVERY ASSOCIATES INC,52668F10,DIVY,3
10125,8055,9/1/88,9/27/88,DISCOVERY ASSOCIATES INC,52668F10,LEOS,3
10125,8055,9/28/88,12/5/89,LEOS INDUSTRIES INC,52668F10,LEOS,3
10125,8055,12/6/89,8/30/91,LEOS INDUSTRIES INC,52668F10,LI,2
10126,8072,3/20/86,5/1/96,ONE VALLEY BANCORP WEST VA INC,68241910,OVWV,3
10126,8072,5/2/96,5/21/97,ONE VALLEY BANCORP INC,68241910,OVWV,3
10126,8072,5/22/97,7/6/00,ONE VALLEY BANCORP INC,68241910,OV,1
10127,8074,3/25/86,4/17/02,PARIS BUSINESS FORMS INC,69955610,PBFI,3
10128,8075,3/25/86,4/15/86,LA MAN CORP,25469V10,LAMN,3
10128,8075,4/16/86,4/21/86,LA MAN CORP,25469V10,,0
10128,8075,4/22/86,5/7/86,LA MAN CORP,25469V10,LAMN,3
10128,8075,5/8/86,1/6/94,LA MAN CORP,25469V10,,0
10128,8075,1/7/94,11/2/98,LA MAN CORP,25469V10,LAMN,3
10128,8075,11/3/98,2/23/01,DISPLAY TECHNOLOGIES INC,25469V10,DTEK,3
10129,22167,12/31/25,4/1/27,ALL AMER CABLES INC,1699090,,1
10130,8076,3/25/86,1/15/90,NEWNAN FEDERAL S & L ASSN GA,31958810,NFSL,3
10130,8076,1/16/90,8/22/96,NEWNAN SAVINGS BANK FSB,31958810,NFSL,3
10130,8076,8/23/96,1/13/97,NEWNAN HOLDINGS INC,31958810,NFSL,3
10130,8076,1/14/97,7/9/99,FIRST CITIZENS CORP,31958810,FSTC,3
10131,8077,3/26/86,9/18/91,S B T CORP CT,78387710,SBTC,3
10132,8078,3/26/86,11/9/89,NATIONAL INDUSTRIAL BANCORP INC,63644610,NIBC,3
10133,8080,3/27/86,7/23/89,TELEQUEST INC,87949110,TELQ,3
10133,8080,7/24/89,1/25/90,TELEQUEST INC,87949110,,0
10133,8080,1/26/90,10/18/90,TELEQUEST INC,87949110,TELQ,3
10134,8082,4/1/86,11/2/88,EMPIRE GAS CORP NEW,29171410,EGCB,3
10135,8084,4/1/86,2/23/89,FIRST FEDERAL SVGS ARKANSAS FA,32019B10,FARK,3
10136,8085,4/1/86,3/7/96,COMMUNICATION CABLE INC,20337810,CABL,3
10137,20045,12/31/25,1/15/48,AMERICAN WATER WORKS & ELEC INC,1736110,,1
10137,20045,1/16/48,11/9/60,WEST PENN ELECTRIC CO,1736110,,1
10137,20045,11/10/60,7/1/62,ALLEGHENY POWER SYSTEMS INC,1736110,,1
10137,20045,7/2/62,1/1/68,ALLEGHENY POWER SYSTEMS INC,1736110,AYP,1
10137,20045,1/2/68,9/30/97,ALLEGHENY POWER SYSTEMS INC,1736110,AYP,1
10137,20045,10/1/97,2/25/11,ALLEGHENY ENERGY INC,1736110,AYE,1
10138,8087,4/2/86,12/28/00,T ROWE PRICE ASSOC INC,74144T10,TROW,3
10138,8087,12/29/00,12/31/18,T ROWE PRICE GROUP INC,74144T10,TROW,3
10139,9830,6/21/88,9/26/89,ADMIRAL FINANCIAL CORP,718010,ADFC,3
10140,8089,4/2/86,6/30/98,SEALRIGHT COMPANY INC,81213810,SRCO,3
10141,8090,4/2/86,7/17/96,GANDER MOUNTAIN INC,36471910,GNDR,3
10142,8091,4/3/86,4/3/00,IMTEC INC,45290910,IMTC,3
10143,8092,4/3/86,9/30/97,ONCOGENE SCIENCE INC,67104010,ONCS,3
10143,8092,10/1/97,6/8/10,O S I PHARMACEUTICALS INC,67104010,OSIP,3
10144,8058,4/4/86,9/28/88,NATIONAL INSTITUTE CAREERS INC,63651510,NICE,3
10145,22168,12/31/25,4/27/58,ALLIED CHEMICAL & DYE CORP,43851610,,1
10145,22168,4/28/58,7/1/62,ALLIED CHEMICAL CORP,43851610,,1
10145,22168,7/2/62,1/1/68,ALLIED CHEMICAL CORP,43851610,ACD,1
10145,22168,1/2/68,4/27/81,ALLIED CHEMICAL CORP,43851610,ACD,1
10145,22168,4/28/81,9/18/85,ALLIED CORP,43851610,ALD,1
10145,22168,9/19/85,9/29/85,ALLIED SIGNAL INC,43851610,ALD,31
