Match Name,Match Date,Word Length,c1,c2,c3,c4
COVANSYS CORP,3/6/97,159,1.886792453,3.773584906,1.257861635,0.628930818
EMCORE CORP,3/7/97,202,0.99009901,4.455445545,0,5.445544554
ATL PRODUCTS INC,3/7/97,215,0,2.790697674,0.930232558,2.325581395
OPKO HEALTH INC.,3/7/97,184,1.086956522,3.260869565,0.543478261,0.543478261
PLUMA INC,3/12/97,83,0,4.819277108,0,6.024096386
TOTAL CONTROL PRODUCTS INC,3/11/97,249,1.204819277,4.819277108,0,1.606425703
ARTECON INC /DE/,3/12/97,133,0.751879699,3.007518797,0,2.255639098
MACROVISION CORP,3/13/97,103,1.941747573,1.941747573,0,0.970873786
PROMEDCO MANAGEMENT CO,3/12/97,100,0,3,1,1
"GUITAR CENTER, INC.",3/14/97,178,3.93258427,2.808988764,0,0.561797753
NEOMAGIC CORP,3/14/97,158,0.632911392,1.265822785,0.632911392,1.898734177
COLONIAL HOLDINGS INC,3/20/97,332,0.602409639,2.409638554,0,3.012048193
ENDOCARDIAL SOLUTIONS INC,3/20/97,130,0,2.307692308,0,1.538461538
KONTRON MOBILE COMPUTING INC,3/20/97,404,0.495049505,4.95049505,0,1.98019802
OMNIQUIP INTERNATIONAL INC,3/24/97,174,0.574712644,5.172413793,0,0
PALEX INC,3/21/97,293,0.341296928,5.119453925,0,1.023890785
PHYSICIANS SPECIALTY CORP,3/21/97,384,1.822916667,5.208333333,0,1.302083333
,,,,,,
,,,,,,
HAMILTON BANCORP INC,3/26/97,43,0,0,2.325581395,0
AHL SERVICES INC,3/27/97,229,2.183406114,3.056768559,0.436681223,0
GULF ISLAND FABRICATION INC,4/4/97,190,1.052631579,2.631578947,0,4.736842105
,,,,,,
,,,,,,
NEXAR TECHNOLOGIES INC,4/9/97,212,1.41509434,2.830188679,0.471698113,3.301886792
,,,,,,
MEADE INSTRUMENTS CORP,4/9/97,264,0,5.681818182,0,0.378787879
VALLEY NATIONAL GASES INC,4/10/97,165,2.424242424,5.454545455,0.606060606,3.03030303
BEA SYSTEMS INC,4/14/97,218,2.293577982,4.128440367,0,0.458715596
,,,,,,
,,,,,,
ASI SOLUTIONS INC,4/16/97,200,1,2.5,0,3.5
DECRANE AIRCRAFT HOLDINGS INC,4/17/97,411,0,4.379562044,0,0.729927007
,,,,,,
EGGHEAD COM INC/DE,4/18/97,124,2.419354839,1.612903226,0.806451613,4.032258065
,,,,,,
,,,,,,
,,,,,,
BIONX IMPLANTS INC,4/25/97,244,0.409836066,3.68852459,0,3.278688525
LONG BEACH FINANCIAL CORP,4/29/97,8,0,0,0,0
INTERNATIONAL COMPUTEX INC,5/1/97,337,0.890207715,2.37388724,0.296735905,2.077151335
"SCHIFF NUTRITION INTERNATIONAL, INC.",5/1/97,163,0.613496933,4.90797546,0,0
BROOKDALE LIVING COMMUNITIES INC,5/5/97,273,1.465201465,3.296703297,0.366300366,2.564102564
DTM CORP /TX/,5/5/97,115,0,8.695652174,0,0
,,,,,,
"GLOBAL MATRECHS, INC.",5/8/97,263,1.901140684,3.422053232,0.380228137,4.182509506
,,,,,,
JOURNAL REGISTER CO,5/8/97,198,0,2.525252525,0,0
BRIGHAM EXPLORATION CO,5/9/97,163,1.226993865,1.840490798,0.613496933,3.680981595
,,,,,,
,,,,,,
RAMBUS INC,5/14/97,131,1.526717557,1.526717557,0.763358779,4.580152672
SUPER NOVA RESOURCES INC.,5/19/97,262,0,3.816793893,0,2.290076336
,,,,,,
AMAZON COM INC,5/15/97,147,2.040816327,2.040816327,0.680272109,2.040816327
GENERAL CABLE CORP /DE/,5/16/97,14,0,0,0,0
,,,,,,
SIERRACITIES COM INC,5/16/97,122,2.459016393,3.278688525,0,2.459016393
,,,,,,
SUMMIT HOLDING SOUTHEAST INC,5/22/97,80,0,1.25,0,0
,,,,,,
TROVER SOLUTIONS INC,5/23/97,117,2.564102564,3.418803419,0,2.564102564
NEI WEBWORLD INC,5/22/97,281,0.711743772,4.270462633,0,2.135231317
APPLE ORTHODONTIX INC,5/23/97,225,2.222222222,3.555555556,0,0.888888889
CAREY INTERNATIONAL INC,5/28/97,276,2.536231884,6.884057971,0,0
,,,,,,
DSI TOYS INC,5/30/97,444,0.45045045,9.459459459,0,0
NETSPEAK CORP,5/29/97,145,2.068965517,3.448275862,0.689655172,1.379310345
ASCENT PEDIATRICS INC,5/30/97,278,2.158273381,0.71942446,0,3.597122302
AMERICAN RETIREMENT CORP,6/2/97,187,1.604278075,2.673796791,0,3.20855615
RF MICRO DEVICES INC,6/4/97,207,0,4.830917874,0,4.347826087
PAMECO CORP,6/4/97,187,0,6.951871658,0,1.069518717
,,,,,,
CARDIMA INC,6/6/97,185,1.621621622,3.243243243,0,3.243243243
,,,,,,
CONCERO INC,6/5/97,217,0.460829493,3.686635945,0,2.304147465
LOTTERY & WAGERING SOLUTIONS INC,6/6/97,421,0,3.800475059,0.475059382,2.375296912
,,,,,,
PEAPOD INC,6/11/97,77,0,3.896103896,0,2.597402597
EFAX COM INC,6/11/97,159,0,3.144654088,0,1.886792453
HTE INC,6/12/97,159,1.257861635,5.031446541,0.628930818,3.144654088
RC2 CORP,6/13/97,157,0,6.369426752,0,0
RALPH LAUREN CORP,6/12/97,271,0.36900369,5.166051661,0,2.95202952
STAR TELECOMMUNICATIONS INC,6/12/97,211,1.421800948,3.317535545,0,1.895734597
IWL COMMUNICATIONS INC,6/13/97,263,0.380228137,1.901140684,0.380228137,1.901140684
"MAXIMUS, INC.",6/17/97,159,0.628930818,2.51572327,1.257861635,0.628930818
ORBIT FR INC,6/17/97,95,4.210526316,8.421052632,0,2.105263158
INTEST CORP,6/17/97,223,3.587443946,3.139013453,0.448430493,1.793721973
GENESYS TELECOMMUNICATIONS LABORATORIES INC,6/17/97,102,0.980392157,2.941176471,0.980392157,0.980392157
STEEL VAULT CORP,6/18/97,218,2.293577982,1.834862385,0,1.834862385
NEW ERA OF NETWORKS INC,6/18/97,210,1.428571429,3.333333333,0,5.714285714
SIMULATIONS PLUS INC,6/19/97,364,0.549450549,5.21978022,1.098901099,3.296703297
ARM FINANCIAL GROUP INC,6/20/97,61,1.639344262,1.639344262,0,0
"STARTEK, INC.",6/19/97,156,1.282051282,5.769230769,0,2.564102564
ARIS CORP/,6/18/97,150,2,4,0,0.666666667
METRIKA SYSTEMS CORP,6/20/97,114,1.754385965,1.754385965,1.754385965,0.877192982
AURORA BIOSCIENCES CORP,6/19/97,115,2.608695652,2.608695652,1.739130435,2.608695652
GREAT PLAINS SOFTWARE INC,6/24/97,117,4.273504274,1.709401709,1.709401709,0.854700855
PROFESSIONAL TRANSPORTATION GROUP LTD INC,6/20/97,324,1.234567901,4.012345679,0.308641975,1.851851852
LASER POWER CORP/FA,6/19/97,197,0.507614213,4.060913706,0,3.553299492
RWD TECHNOLOGIES INC,6/19/97,95,3.157894737,2.105263158,1.052631579,0
QWEST COMMUNICATIONS INTERNATIONAL INC,6/24/97,77,0,5.194805195,0,2.597402597
RANGE ENERGY CORP,6/25/97,358,0.558659218,3.351955307,0,5.586592179
ACORN PRODUCTS INC,6/24/97,197,3.553299492,6.598984772,1.015228426,4.568527919
SAXTON INC,6/26/97,300,1.666666667,7.333333333,0,0
PACIFIC PREMIER BANCORP INC,6/26/97,172,2.906976744,2.325581395,0,0.581395349
,,,,,,
3DFX INTERACTIVE INC,6/25/97,148,2.027027027,2.702702703,0,6.081081081
NEW CENTURY TRS HOLDINGS INC,6/26/97,71,0,5.633802817,0,1.408450704
GEVITY HR INC,6/26/97,216,1.851851852,4.62962963,0.462962963,0.462962963
800 JR CIGAR INC,6/27/97,283,0,3.533568905,0,2.826855124
JLK DIRECT DISTRIBUTION INC,6/27/97,135,2.222222222,7.407407407,0,0
NXCHAIN INC.,6/26/97,318,0.628930818,1.886792453,0,2.830188679
COMFORT SYSTEMS USA INC,6/27/97,97,3.092783505,7.216494845,0,0
ADVANCED COMMUNICATION SYSTEMS INC,6/27/97,142,2.112676056,4.225352113,0,0
HESKA CORP,7/1/97,168,1.19047619,0.595238095,1.19047619,3.571428571
DBM GLOBAL INC,7/1/97,109,1.834862385,4.587155963,0.917431193,0
EXTERRAN ENERGY CORP.,7/1/97,92,0,5.434782609,0,1.086956522
IRON MOUNTAIN INC,7/2/97,171,2.923976608,1.754385965,0.584795322,2.339181287
"CLARIENT, INC",8/13/97,210,0.476190476,1.904761905,0.476190476,0.476190476
,,,,,,
HELIX ENERGY SOLUTIONS GROUP INC,7/2/97,159,0,5.660377358,0,0
"SIRONA DENTAL SYSTEMS, INC.",7/1/97,208,2.403846154,5.769230769,0.480769231,1.442307692
GUIDED THERAPEUTICS INC,7/2/97,161,0,1.242236025,0,3.105590062
MERCATOR SOFTWARE INC,7/2/97,130,2.307692308,4.615384615,0,0.769230769
TRANSCEND THERAPEUTICS INC,7/7/97,240,0.833333333,1.25,0.416666667,2.916666667
CENTENNIAL HEALTHCARE CORP,7/3/97,401,0.249376559,3.241895262,0.498753117,2.244389027
,,,,,,
"IVOW, INC.",7/3/97,156,1.923076923,1.923076923,0.641025641,5.128205128
8X8 INC /DE/,7/2/97,83,1.204819277,4.819277108,0,3.614457831
PERITUS SOFTWARE SERVICES INC,7/2/97,140,1.428571429,4.285714286,0.714285714,0.714285714
HAGLER BAILLY INC,7/3/97,299,1.003344482,3.678929766,1.337792642,0
INX INC,7/8/97,227,0.881057269,3.524229075,0,3.964757709
WORLD OF SCIENCE INC,8/27/97,185,0,2.162162162,0,4.324324324
HORIZON PHARMACIES INC,7/9/97,244,2.459016393,6.147540984,0,0.819672131
TELESCIENCES INC /DE/,7/8/97,176,2.840909091,3.409090909,0,1.704545455
TELEGROUP INC,7/9/97,109,0,3.669724771,0,1.834862385
METALS USA INC,7/11/97,187,1.069518717,5.347593583,0,3.20855615
APOLLO INTERNATIONAL OF DELAWARE INC,7/15/97,292,0,1.369863014,0,2.397260274
"AMICAS, INC.",7/10/97,346,2.89017341,3.179190751,0,0.867052023
,,,,,,
MONARCH DENTAL CORP,7/18/97,168,1.785714286,5.357142857,0,4.166666667
FOX & HOUND RESTAURANT GROUP,7/18/97,197,1.015228426,5.076142132,1.015228426,2.030456853
JONES LANG LASALLE INC,7/18/97,191,0.523560209,3.141361257,0.523560209,2.617801047
FRIEDE GOLDMAN HALTER INC,7/22/97,402,0.995024876,0.995024876,0.248756219,1.990049751
TRAVEL SERVICES INTERNATIONAL INC,7/24/97,150,2.666666667,4,0,0
TRAILER BRIDGE INC,7/24/97,159,0,5.660377358,0,3.144654088
EXCELSIOR HENDERSON MOTORCYCLE MANUFACTURING CO,7/24/97,137,0,2.919708029,0.729927007,1.459854015
JLM INDUSTRIES INC,7/24/97,180,2.222222222,2.777777778,0,1.111111111
GALILEO INTERNATIONAL INC,7/28/97,115,4.347826087,0.869565217,0,0
SCHEID VINEYARDS INC,7/25/97,189,2.116402116,5.291005291,0,0.529100529
CMP MEDIA INC,7/25/97,286,0,2.447552448,0,0
BIORELIANCE CORP,7/29/97,174,2.873563218,1.724137931,0,6.32183908
CORSAIR COMMUNICATIONS INC,7/30/97,146,1.369863014,3.424657534,1.369863014,1.369863014
VESTCOM INTERNATIONAL INC,7/30/97,268,2.23880597,7.089552239,0,1.119402985
,,,,,,
ONSTREAM MEDIA CORP,8/1/97,501,0.598802395,2.594810379,0,1.19760479
PACIFIC SYSTEMS CONTROL TECHNOLOGY INC,7/30/97,321,0,5.295950156,0,0
INFORMATION MGMT AS W/D/B,7/30/97,255,1.176470588,4.705882353,0.392156863,0.392156863
CONCENTRIC NETWORK CORP,8/1/97,213,0.938967136,4.225352113,0,1.408450704
HALL KINION & ASSOCIATES INC,8/5/97,149,2.013422819,9.395973154,0,1.342281879
OCULAR SCIENCES INC /DE/,8/6/97,212,0.471698113,6.603773585,0,1.41509434
EAGLE GEOPHYSICAL INC,8/6/97,554,1.263537906,5.59566787,0.180505415,1.805054152
,,,,,,
CARRIZO OIL & GAS INC,8/6/97,107,1.869158879,3.738317757,1.869158879,1.869158879
QAD INC,8/6/97,191,2.094240838,4.188481675,0.523560209,2.094240838
PEGASUS SOLUTIONS INC,8/7/97,181,0,4.972375691,1.104972376,1.104972376
GLOBECOMM SYSTEMS INC,8/8/97,109,0.917431193,4.587155963,1.834862385,1.834862385
"ARCA BIOPHARMA, INC.",8/11/97,205,0,1.951219512,0.487804878,3.902439024
OMTOOL LTD,8/8/97,137,1.459854015,2.919708029,1.459854015,2.189781022
INNOVA CORPORATION,8/11/97,183,0.546448087,5.464480874,1.092896175,1.639344262
HELIOS & MATHESON ANALYTICS INC.,8/11/97,371,0.808625337,2.964959569,0.269541779,1.886792453
COMPUTER MOTION INC,8/14/97,227,1.321585903,1.762114537,0.881057269,3.083700441
FINE COM INTERNATIONAL CORP /WA/,8/12/97,436,0.458715596,1.605504587,0.688073394,4.816513761
CORPORATEFAMILY SOLUTIONS INC,8/13/97,129,3.100775194,5.426356589,0,1.550387597
SYNTEL INC,8/12/97,143,4.895104895,2.097902098,0,0
STERIGENICS INTERNATIONAL INC,8/15/97,136,2.205882353,2.941176471,0,3.676470588
ON STAGE ENTERTAINMENT INC,8/14/97,588,0,2.891156463,0,1.700680272
TRENDWEST RESORTS INC,8/15/97,125,2.4,5.6,0.8,0
AEHR TEST SYSTEMS,8/15/97,159,1.886792453,2.51572327,0,3.773584906
"WHEAT SHEAF BRANDS, INC.",8/15/97,251,1.195219124,3.187250996,0,1.195219124
,,,,,,
LEUKOSITE INC,8/15/97,297,1.01010101,1.01010101,1.01010101,2.356902357
CLEARVIEW CINEMA GROUP INC,8/20/97,335,1.194029851,7.164179104,0,2.686567164
,,,,,,
CTB INTERNATIONAL CORP,8/22/97,254,0.787401575,6.692913386,0,0
ORTHALLIANCE INC,8/22/97,240,0.833333333,4.583333333,0,0.833333333
"EMERGING ENTERPRISE SOLUTIONS, INC.",8/27/97,347,0,4.899135447,0.288184438,2.017291066
INSPIRE INSURANCE SOLUTIONS INC,8/27/97,259,1.544401544,3.088803089,0.386100386,4.633204633
,,,,,,
EXECUSTAY CORP,8/27/97,236,1.694915254,4.237288136,0,0
,,,,,,
,,,,,,
COMPASS PLASTICS & TECHNOLOGIES INC,9/4/97,384,0,3.385416667,0,7.8125
TRIPATH IMAGING INC,9/5/97,246,0.81300813,2.43902439,0.406504065,4.06504065
SIGNATURE EYEWEAR INC,9/12/97,205,0.487804878,5.365853659,0.487804878,0.975609756
CASTLE DENTAL CENTERS INC,9/15/97,482,1.452282158,3.941908714,0,1.452282158
,,,,,,
DOT HILL SYSTEMS CORP,9/17/97,133,0,0.751879699,0.751879699,1.503759398
FARO TECHNOLOGIES INC,9/18/97,211,0.947867299,3.791469194,0.473933649,2.843601896
,,,,,,
IL FORNAIO AMERICA CORP,9/22/97,61,0,1.639344262,0,0
"CHILDRENS PLACE, INC.",9/22/97,138,0,2.898550725,0,1.449275362
,,,,,,
PC UNIVERSE INC,9/22/97,389,0.771208226,5.912596401,0.771208226,2.570694087
SQUARE CHAIN CORP.,9/22/97,479,0.417536534,4.384133612,0,0.417536534
PROBUSINESS SERVICES INC,9/19/97,203,0.985221675,4.926108374,0,0.492610837
INTERNATIONAL TOTAL SERVICES INC,9/19/97,151,3.311258278,4.635761589,1.986754967,0
FIRST INTERNATIONAL BANCORP INC,9/23/97,94,0,2.127659574,0,3.191489362
AVIS GROUP HOLDINGS INC,9/25/97,133,5.263157895,3.007518797,0,2.255639098
INDUSTRIAL DISTRIBUTION GROUP INC,9/24/97,220,2.272727273,5.909090909,0.454545455,0
BORON LEPORE & ASSOCIATES INC,9/24/97,223,0.448430493,3.587443946,0,3.139013453
EDUTREK INT INC,9/24/97,257,0.389105058,7.392996109,0.389105058,0
EDWARDS J D & CO,9/24/97,116,2.586206897,2.586206897,0.862068966,0.862068966
STAR BUFFET INC,9/25/97,221,4.977375566,5.429864253,0,1.357466063
BRIDGESTREET ACCOMMODATIONS INC,9/25/97,303,1.320132013,5.280528053,0,1.320132013
,,,,,,
PERVASIVE SOFTWARE INC,9/26/97,122,1.639344262,1.639344262,0.819672131,1.639344262
"WALKING CO HOLDINGS, INC.",9/26/97,130,0,4.615384615,0,0.769230769
NETWORK SOLUTIONS INC /DE/,9/26/97,193,1.03626943,2.590673575,0.518134715,2.07253886
NEXTLINK COMMUNICATIONS INC /DE/,9/29/97,185,1.081081081,4.324324324,0,1.081081081
BEST SOFTWARE INC,9/30/97,112,3.571428571,4.464285714,0,1.785714286
OMEGA RESEARCH INC,10/1/97,149,2.013422819,2.684563758,0,0
POWER ONE INC,10/1/97,156,1.923076923,3.205128205,0.641025641,3.205128205
IVEX PACKAGING CORP /DE/,10/2/97,101,0,3.96039604,0,0
RSL COMMUNICATIONS LTD,10/1/97,113,3.539823009,6.194690265,0,1.769911504
CORIXA CORP,10/2/97,236,1.694915254,1.694915254,2.118644068,3.389830508
PETERSEN COMPANIES INC,10/2/97,242,1.652892562,6.198347107,0,3.305785124
STRATESEC INC,10/2/97,167,0,3.592814371,1.796407186,1.19760479
OSI SYSTEMS INC,10/2/97,287,1.393728223,5.923344948,0.348432056,2.090592334
SPR INC,10/2/97,232,0.862068966,3.017241379,1.724137931,1.724137931
LOGILITY INC,10/7/97,106,1.886792453,1.886792453,0.943396226,0.943396226
JEVIC TRANSPORTATION INC,10/7/97,147,2.040816327,4.761904762,0,3.401360544
SYNAGEVA BIOPHARMA CORP,10/7/97,244,0.409836066,1.639344262,0.819672131,3.278688525
AMERICAN ITALIAN PASTA CO,10/9/97,63,0,3.174603175,0,4.761904762
RENEX CORP,10/9/97,371,1.347708895,4.043126685,0.539083558,2.156334232
U S A FLORAL PRODUCTS INC,10/14/97,215,0,3.720930233,0,0
,,,,,,
STARTEC GLOBAL COMMUNICATIONS CORP,10/10/97,109,3.669724771,3.669724771,0,0.917431193
STONERIDGE INC,10/10/97,120,2.5,3.333333333,0,3.333333333
NATIONAL RESEARCH CORP,10/10/97,132,1.515151515,1.515151515,0,0.757575758
KOFAX IMAGE PRODUCTS INC,10/10/97,163,1.840490798,3.680981595,0.613496933,3.067484663
TRACK N TRAIL INC,10/15/97,187,1.069518717,5.882352941,0,1.069518717
CONCORD COMMUNICATIONS INC,10/16/97,130,1.538461538,1.538461538,0.769230769,0.769230769
,,,,,,
MAC-GRAY CORP,10/17/97,208,1.923076923,5.288461538,0,3.365384615
VLPS LIGHTING SERVICES INTERNATIONAL INC,10/16/97,365,0.547945205,2.739726027,0,2.465753425
N2K INC,10/17/97,304,1.644736842,3.289473684,0,0.986842105
PETROGLYPH ENERGY INC,10/22/97,110,0,4.545454545,0,0.909090909
NEUTRAL POSTURE ERGONOMICS INC,10/21/97,171,0,3.50877193,0,4.093567251
TOYMAX INTERNATIONAL INC,10/21/97,361,1.108033241,3.324099723,0,1.662049861
ROCK OF AGES CORP,10/21/97,264,4.545454545,7.575757576,0,1.515151515
WHITE CAP INDUSTRIES INC,10/23/97,261,0,3.831417625,0,0
DRIL-QUIP INC,10/23/97,295,0,7.118644068,0,7.118644068
INNOVATIVE VALVE TECHNOLOGIES INC,10/24/97,188,0.531914894,7.978723404,0,0
MEDIABAY INC,10/23/97,494,1.417004049,3.643724696,0,0.20242915
,,,,,,
INTERNATIONAL MANUFACTURING SERVICES INC,10/22/97,156,0.641025641,2.564102564,0,1.923076923
PAULA FINANCIAL,10/28/97,133,0,5.263157895,0,0
ITC DELTACOM INC,10/24/97,159,1.886792453,1.886792453,1.257861635,2.51572327
,,,,,,
PRIORITY HEALTHCARE CORP,10/24/97,132,1.515151515,5.303030303,0,0
OUTSOURCE INTERNATIONAL INC,10/27/97,335,1.194029851,2.089552239,0.298507463,1.791044776
BERINGER WINE ESTATES HOLDINGS INC,10/29/97,151,0,3.973509934,0,0
ABOVENET INC,10/29/97,151,1.324503311,5.960264901,0,1.986754967
MMC NETWORKS INC,10/29/97,124,3.225806452,2.419354839,0.806451613,1.612903226
TROPICAL SPORTSWEAR INTERNATIONAL CORP,10/29/97,120,0,2.5,0.833333333,2.5
GROUP 1 AUTOMOTIVE INC,10/30/97,198,3.03030303,5.050505051,0,1.515151515
ZYMETX INC,10/30/97,180,1.111111111,4.444444444,2.777777778,3.333333333
FAROUDJA INC,10/30/97,125,3.2,2.4,0.8,2.4
CAPITAL SENIOR LIVING CORP,10/31/97,199,0,8.040201005,0,1.507537688
UBICS INC,10/31/97,248,0,2.016129032,0.403225806,2.016129032
,,,,,,
,,,,,,
TRANSCOASTAL MARINE SERVICES INC,10/30/97,178,1.123595506,6.741573034,0,0
PERICOM SEMICONDUCTOR CORP,11/4/97,125,2.4,1.6,1.6,1.6
AMF BOWLING INC,11/4/97,109,0,4.587155963,0,0
EXCEL SWITCHING CORP,11/5/97,69,4.347826087,4.347826087,0,4.347826087
YOUNG INNOVATIONS INC,11/5/97,132,3.03030303,7.575757576,0,0
DENTAL CARE ALLIANCE INC,11/4/97,268,1.865671642,1.865671642,0,0.373134328
TIMIOS NATIONAL CORP,11/5/97,329,0,3.039513678,0,0.303951368
T&W FINANCIAL CORP,11/4/97,227,3.083700441,2.643171806,0,0.881057269
BAYARD DRILLING TECHNOLOGIES INC,11/4/97,247,0.4048583,4.453441296,0,2.024291498
LINC CAPITAL INC,11/6/97,138,0,2.173913043,0,3.623188406
INTERNATIONAL AIRCRAFT INVESTORS,11/5/97,104,1.923076923,6.730769231,0,0
SOMNUS MEDICAL TECHNOLOGIES INC,11/6/97,182,1.098901099,0.549450549,0.549450549,2.197802198
PRECISION AUTO CARE INC,11/6/97,283,0,3.180212014,0,0.706713781
ENCOMPASS SERVICES CORP,11/7/97,107,7.476635514,5.607476636,0,0
AMERICAN SKIING CO /ME,11/7/97,113,0.884955752,5.309734513,0,3.539823009
BRIGHT HORIZONS INC,11/7/97,248,1.612903226,6.85483871,0.403225806,0
SONIC AUTOMOTIVE INC,11/13/97,68,4.411764706,7.352941176,0,1.470588235
NOVACARE EMPLOYEE SERVICES INC,11/18/97,123,1.62601626,4.06504065,0,0
HYBRID NETWORKS INC,11/12/97,134,2.23880597,2.985074627,0.746268657,2.23880597
,,,,,,
METRO-GOLDWYN-MAYER INC,11/13/97,190,2.631578947,2.105263158,0,2.105263158
U S TIMBERLANDS CO LP,11/17/97,176,2.840909091,6.818181818,0,2.272727273
IRI INTERNATIONAL CORP,11/14/97,338,0.295857988,3.550295858,0,3.25443787
SPORTSLINE COM INC,11/14/97,99,4.04040404,4.04040404,0,5.050505051
HYPERCOM CORP,11/14/97,265,1.132075472,4.528301887,0,1.509433962
CHARLES & COLVARD LTD,11/17/97,245,0.408163265,3.265306122,0.816326531,0.816326531
FRIENDLY ICE CREAM CORP,11/14/97,301,0,3.65448505,0,6.976744186
,,,,,,
INTERNATIONAL HOME FOODS INC,11/19/97,107,0.934579439,3.738317757,0,5.607476636
FRANCHISE MORTGAGE ACCEPTANCE CO,11/19/97,134,0,6.71641791,0,0
