 Filing Date	Issue Date	Issuer	Main SIC Code	Ticker Symbol	Bookrunner(s)	Gross spread ($)	Gross Spread as % of Prncpl Amt - in this Mkt	Proceeds Amt - in this Mkt ($ mil)	Offer Price	Type of Security	9-Digit Cusip	Primary Exchange Where Issuer's Stock Trades	Management Fee as % of Prncpl Amt - in this Mkt	Underwriting Fee as % of Prncpl Amt - in this Mkt	Selling Concession as % of Prncpl Amt - in this Mkt	Marketplace	Original High Filing Price	Original Low Filing Price	Shares Filed - in this Mkt	Amt Filed - in this Mkt ($ mil)	Primary Shares Offered - in this Mkt	Secondary Shs Ofrd- in this Mkt	Lock up Expiration Date	Percent of Shares Outstanding Subject to Lockup Agreement	Lockup Days	Lockup Shares	Depositary	Units	Venture Backed	Spin-off Parent Ticker	Spinoff's Parent	Number of Bookrunners	RANK_NO_LEADS	"Number of Lead, Co-lead, & Co-managers"	Stock Price at Close of Offer/1st Trade	Opening Stock Price at First Trade	permno	cusip	comnam	ticker	begprc	prc	Match Name	Match Date	diff date	mid	c1	c2	c3	c4	Word Length_sentiment	negative	positive	uncertainty	litigious	strongmodal	weakmodal	constraining	internet	underpricing
8/2/96	2/5/97	Digital Lightwave Inc	3823	DIGL	CS-FB	0.84	7	55.2	12	Common Shares	253855100	Nasdaq	1.417	1.417	4.16667	U.S. Public			4100000		3658860	941140	8/4/97 0:00		180		No	No	No			1	1	2	12.75		84525	25385510	DIGITAL LIGHTWAVE INC	DIGL	2/6/97	12.75	DIGITAL LIGHTWAVE INC	2/7/97	1	0	1.092896175	2.732240437	0.546448087	3.825136612	185	0	0.021621622	0.021621622	0	0.021621622	0.016216216	0.005405405	0	0.0625
8/8/96	1/29/97	SCPIE Holdings Inc	6399	SKP	SAL	1.28	7.014	36.5	18.25	Common Shares	78402P104	New York	1.397	1.397	4.21918	U.S. Public	21	19	2000000	40	2000000		7/28/97 0:00		180		No	No	No			1	1	1	20.75		84395	78402P10	S C P I E HOLDINGS INC	SKP	1/30/97	20.75	SCPIE HOLDINGS INC	1/30/97	0	20	0	0	2	0	50	0	0	0.04	0	0.04	0	0	0	0.136986301
8/8/96	7/7/97	Allstar Systems Inc	5045	ALLS	SUTRO	0.45	7.5	10.6	6	Common Shares	19892108	Nasdaq	1.333	1.833	4.33333	U.S. Public	12	10	2035000	22.4	1500000	267500	1/3/98 0:00		180		No	No	No			1	1	2	6.06		85158	46185W10	ALLSTAR SYSTEMS INC	ALLS	7/8/97	6.0625	INX INC	7/8/97	0	11	0.881057269	3.524229075	0	3.964757709	231	0.008658009	0.004329004	0.008658009	0.004329004	0.008658009	0.008658009	0.008658009	0	0.010416667
8/12/96	3/12/99	Eagle Supply Group Inc	5033	EEGL	BARRON-CHASE	0.45	9	12.5	5	Common Shares	269894101	Nasdaq	Comb.	Comb.	5	U.S. Public	5	5	1500000	7.5	2500000		6/4/00 0:00	3.571	450	300000	No	No	No			1	1	1	4.88		86774	26989410	EAGLE SUPPLY GROUP INC	EEGL	3/12/99	4.875	EAGLE SUPPLY GROUP INC	3/16/99	4	5	2.702702703	2.825552826	0	2.825552826	819	0.017094017	0.007326007	0.01953602	0.003663004	0.015873016	0.012210012	0.007326007	0	-0.025
8/21/96	3/12/97	ProMedCo Management Co	8011	PMCOQ	PIPER-J	0.63	7	36	9	Common Shares	74342L105	Pink Sheet	1.556	1.556	3.88889	U.S. Public	11	9	4000000	40	4000000		9/8/97 0:00		180		No	No	Yes			1	1	3	9		84628	74342L10	PROMEDCO MANAGEMENT COMPANY	PMCO	3/12/97	9	PROMEDCO MANAGEMENT CO	3/12/97	0	10	0	3	1	1	101	0.00990099	0	0.03960396	0	0.02970297	0	0	0	0
8/23/96	2/5/97	Brunswick Technologies Inc	2221	BTIC	JOSEPHTHAL-LYON	0.665	7	23.8	9.5	Common Shares	117394106	Nasdaq	1.421	1.368	4.21053	U.S. Public	8	6	2250000	15.8	1700000	800000	3/2/98 0:00		390	2047604	No	No	Yes			1	1	2	10		84589	11739410	BRUNSWICK TECHNOLOGIES	BTIC	2/5/97	10	BRUNSWICK TECHNOLOGIES INC	2/6/97	1	7	2.005730659	3.151862464	0.573065903	2.29226361	351	0	0.022792023	0.034188034	0.005698006	0.01994302	0.005698006	0.011396011	0	0.052631579
9/3/96	9/12/97	Castle Dental Centers Inc	8021	CASL	BRADFORD	0.91	7	32.5	13	Common Shares	14844P105	Nasdaq	1.385	1.385	4.23077	U.S. Public	10	10	5500000	55	2500000		3/11/98 0:00		180		No	No	No			1	1	2	14.44		85363	14844P10	CASTLE DENTAL CENTERS INC	CASL	9/12/97	14.4375	CASTLE DENTAL CENTERS INC	9/15/97	3	10	1.452282158	3.941908714	0	1.452282158	482	0.012448133	0.004149378	0.014522822	0.01659751	0.004149378	0.002074689	0.002074689	0	0.110576923
9/4/96	1/30/97	Cerus Corp	3841	CERS	MS	0.84	7	24	12	Common Shares	157085101	Nasdaq	1.417	1.667	3.91667	U.S. Public	16	14	2000000	30	2000000		7/29/97 0:00		180	6850000	No	No	Yes			1	1	2	12.13		84413	15708510	CERUS CORPORATION	CERS	1/31/97	12.125	CERUS CORP	1/31/97	0	15	1.176470588	1.764705882	0.588235294	3.529411765	173	0.005780347	0	0.046242775	0.011560694	0	0.011560694	0.01734104	0	0.010416667
9/13/96	2/12/97	Birman Managed Care Inc	8099	BMAN	ROYCE-INVEST	0.4	8	10	5	Common Shares	90883109	Pink Sheet	Comb.	Comb.	4	U.S. Public	6.75	5.75	1550000	9.7	2000000		2/12/99 0:00		730	6754082	No	No	No			1	1	2	7.5		84513	9088330	BIRMAN MANAGED CARE INC	BMAN	2/12/97	7.5	BIRMAN MANAGED CARE INC	2/13/97	1	6.25	0.809716599	2.429149798	0	0.809716599	248	0.012096774	0.004032258	0.016129032	0.012096774	0.016129032	0.008064516	0.012096774	0	0.5
9/18/96	5/1/97	Brookdale Living Communities	8361	BLCI	FRIEDMAN-B	0.805	7	51.8	11.5	Common Shares	112462106	Nasdaq	1.435	1.478	4.08696	U.S. Public	17	15	6250000	100	4500000		10/28/97 0:00		180		No	No	No			1	1	1	11.5		84793	11246210	BROOKDALE LIVING COMM INC	BLCI	5/2/97	11.5	BROOKDALE LIVING COMMUNITIES INC	5/5/97	3	16	1.465201465	3.296703297	0.366300366	2.564102564	274	0	0.00729927	0.054744526	0.018248175	0.003649635	0	0.00729927	0	0
9/18/96	5/6/97	HomeCom Communications Inc	7371	HCOM	LADENBURG	0.48	8	6	6	Common Shares	43738N108	Sm Cap Mkt	1.5	2.167	4.33333	U.S. Public	7	6	1250000	8.1	1000000		11/2/97 0:00		180		No	No	No			1	1	1	6.5		84810	43738N10	HOMECOM COMMUNICATIONS INC	HCOM	5/7/97	6.5	"GLOBAL MATRECHS, INC."	5/8/97	1	6.5	1.901140684	3.422053232	0.380228137	4.182509506	265	0	0.003773585	0.01509434	0.003773585	0.011320755	0.011320755	0.00754717	0	0.083333333
9/27/96	2/11/97	Independence Brewing Co	2082	IBCO	A-S-GOLD	0.5	10	4.5	5	Common Shares	453407108	Sm Cap Mkt	Comb.	Comb.	2.5	U.S. Public	5	5	900000	4.5	900000		3/14/98 0:00		396		No	No	Yes			1	1	1	5.38		84539	45340710	INDEPENDENCE BREWING COMPANY	IBCO	2/11/97	5.375	INDEPENDENCE BREWING CO	2/13/97	2	5	0.276243094	4.419889503	0	1.657458564	365	0.008219178	0	0.035616438	0.002739726	0.01369863	0.008219178	0.008219178	0	0.075
9/27/96	4/30/97	Weider Nutrition International	2834	WNI	CS-FB	0.77	7	49.3	11	Class A Shares	948603105	New York	1.364	1.364	4.27273	U.S. Public				103.5	4480000						No	No	No			1	1	4	11.13		84785	80669310	WEIDER NUTRITION INTL INC	WNI	5/1/97	11.125	"SCHIFF NUTRITION INTERNATIONAL, INC."	5/1/97	0	0	0.613496933	4.90797546	0	0	163	0	0	0.042944785	0	0	0	0	0	0.011363636
9/30/96	1/30/97	Medical Manager Corp	7373	MMGR	DLJ	0.77	7	66	11	Common Shares	58461C103	Nasdaq	1.364	1.545	4.09091	U.S. Public	16	14	5000000	75	6000000		7/29/97 0:00		180	11116569	No	No	No			1	1	2	11.13		84429	58461C10	MEDICAL MANAGER CORP	MMGR	1/30/97	11.125	MEDICAL MANAGER CORP	1/31/97	1	15	2.597402597	6.493506494	0	0	156	0	0.012820513	0.038461538	0.006410256	0.044871795	0	0	0	0.011363636
9/30/96	2/14/97	Judge Group Inc	7373	JUDG	JANNEY	0.53	7.067	27.4	7.5	Common Shares	481271104	Nasdaq	1.333	1.733	4	U.S. Public	11	9	3650000	36.5	3000000	650000	8/13/97 0:00		180		No	No	No			1	1	2	7.63		84545	48127110	JUDGE GROUP INC	JUDG	2/14/97	7.625	JUDGE GROUP INC	2/18/97	4	10	2.234636872	4.469273743	0	0.558659218	181	0.005524862	0	0.033149171	0	0.011049724	0.016574586	0	0	0.016666667
10/1/96	3/20/97	Omniquip International Inc	3531	OMQP	MS	0.91	6.5	89.6	14	Common Shares	681969101	Nasdaq	1.286	1.286	3.92857	U.S. Public	16	14	6400000	96	2400000	4000000					No	No	No			1	1	4	14.5		84626	68196910	OMNIQUIP INTERNATIONAL INC	OMQP	3/21/97	14.5	OMNIQUIP INTERNATIONAL INC	3/24/97	3	15	0.574712644	5.172413793	0	0	174	0	0.005747126	0.028735632	0	0.017241379	0	0	0	0.035714286
10/2/96	1/23/97	RDO Equipment Co	5083	RDO	CS-FB	1.085	7	65.1	15.5	Class A Shares	749413100	New York	1.419	1.581	4	U.S. Public				51.8	4200000		7/22/97 0:00		180	8350000	No	No	No			1	1	2	18		84394	74941310	R D O EQUIPMENT CO	RDO	1/24/97	18	RDO EQUIPMENT CO	1/24/97	0	0	4.676258993	2.517985612	0.35971223	1.079136691	279	0	0.003584229	0.025089606	0.003584229	0.014336918	0.007168459	0	0	0.161290323
10/2/96	3/23/98	EarthShell Corp	2656	ERTH	SALOMON-SMITH/CS-FB(JB)	1.313	6.25	221.8	21	Common Shares	27032B100	Nasdaq	1.238	1.25	3.7619	U.S. Public					8421053	2138947					No	No	No			2	2	2	23.56		85868	27032B20	EARTHSHELL CORP	ERTH	3/24/98	23.5625	EARTHSHELL CORP	3/25/98	1	0	0	2.739726027	0.342465753	1.369863014	293	0.006825939	0.003412969	0.017064846	0.006825939	0.013651877	0.003412969	0.003412969	0	0.12202381
10/4/96	2/13/97	Gentle Dental Service Corp	8099	GNTL	BLACK	0.35	7	7.5	5	Common Shares	37245B102	Sm Cap Mkt	1.4	1.6	4	U.S. Public	7	5	1250000	7.5	1500000		5/14/97 0:00		90	1033450	No	No	Yes			1	1	2	5		84537	37245B10	GENTLE DENTAL SERVICE CORP	GNTL	2/13/97	5	GENTLE DENTAL SERVICE CORP	2/13/97	0	6	3.482587065	4.975124378	0	0.497512438	202	0.004950495	0.004950495	0.004950495	0.004950495	0.004950495	0	0	0	0
10/7/96	2/10/97	Coast Dental Services Inc	8011	CDEN	PSI	0.56	7	17.6	8	Common Shares	19034H102	Pink Sheet	1.375	1.75	3.875	U.S. Public	12	10	2000000	22	2200000		8/9/97 0:00		180	3255000	No	No	No			1	1	2	10.5		84517	19034H20	COAST DENTAL SERVICES INC	CDEN	2/11/97	10.5	COAST DENTAL SERVICES INC	2/11/97	0	11	1.5	3.5	0	1	201	0	0	0.019900498	0	0.014925373	0	0.009950249	0	0.3125
10/7/96	11/19/97	Progenics Pharmaceuticals Inc	8731	PGNX	CIBC-OPPEN	0.56	7	16	8	Common Shares	743187106	Nasdaq	1.375	2.125	3.5	U.S. Public	13	11	2000000	24	2000000		2/17/98 0:00		90		No	No	Yes			1	1	3	8.06		85571	74318710	PROGENICS PHARMACEUTICALS INC	PGNX	11/19/97	8.0625	PROGENICS PHARMACEUTICALS INC	11/20/97	1	12	0	1.779359431	1.779359431	3.914590747	287	0.006968641	0.027874564	0.024390244	0.034843206	0.027874564	0.010452962	0.010452962	0	0.0078125
10/8/96	1/29/97	National Auto Finance Company	6141	NAFI	RAYMOND	0.595	7	17	8.5	Common Shares	632528105	Nasdaq	1.441	1.441	4.11765	U.S. Public				16	2000000		7/28/97 0:00		180		No	No	No			1	1	2	9.5		84430	63252810	NATIONAL AUTO FINANCE INC	NAFI	1/30/97	9.5	NATIONAL AUTO FINANCE CO INC	1/31/97	1	0	0	4.635761589	0	0	152	0.006578947	0	0.039473684	0.013157895	0.026315789	0	0	0	0.117647059
10/8/96	2/7/97	Four Media Co	7819	FOUR	FURMAN-SELZ-INC	0.7	7	50	10	Common Shares	350872107	Nasdaq	1.4	1.4	4.2	U.S. Public	14	12	5700000	74.1	3077502	1922498	11/4/97 0:00		270	1015125	No	No	No			1	1	2	10.13		84535	35087210	FOUR MEDIA COMPANY	FOUR	2/7/97	10.125	FOUR MEDIA CO	2/7/97	0	13	2.62295082	2.950819672	0	1.31147541	307	0.003257329	0.013029316	0.016286645	0.006514658	0.009771987	0.006514658	0.006514658	0	0.0125
10/11/96	1/22/97	SEEC Inc	7372	SEEC	H-C-WAINWRIGHT	0.54	7.448	13.1	7.25	Common Shares	784110108	Sm Cap Mkt	1.655	1.517	4.27586	U.S. Public	11	9	1000000	10	1800000		1/22/98 0:00		365		No	No	No			1	1	2	10.5		84436	78411010	S E E C INC	SEEC	1/22/97	10.5	SEEC INC	1/27/97	5	10	1.57480315	1.57480315	0	3.937007874	129	0	0	0.03875969	0.007751938	0.015503876	0.007751938	0.007751938	0	0.448275862
10/15/96	1/9/97	Sun Hydraulics Corp	3492	SNHY	A-G-EDWARDS	0.665	7	19	9.5	Common Shares	866942105	Nasdaq	1.421	1.368	4.21053	U.S. Public	11.5	9.5	2000000	21	2000000		7/8/97 0:00		180	3492248	No	No	No			1	1	2	10.38		84438	86694210	SUN HYDRAULICS CORP	SNHY	1/9/97	10.375	"HELIOS TECHNOLOGIES, INC."	1/9/97	0	10.5	0	8.270676692	0	4.511278195	133	0	0	0.037593985	0.007518797	0.022556391	0.007518797	0	0	0.092105263
10/15/96	1/29/97	Medialink Worldwide Inc	7383	MDLK	DWR	0.63	7	18	9	Common Shares	58445P105	Nasdaq	1.444	1.667	3.88889	U.S. Public	11	9	2000000	20	2000000		7/28/97 0:00		180		No	No	Yes			1	1	16	9.5		84426	58445P10	MEDIALINK WORLDWIDE INC	MDLK	1/30/97	9.5	MEDIALINK WORLDWIDE INC	1/30/97	0	10	6.060606061	3.03030303	0	0	66	0	0	0.015151515	0.015151515	0	0.03030303	0	0	0.055555556
10/15/96	3/4/97	Riviera Tool Co	3544	RTC	NATL-SEC	0.7	10	7.1	7	Common Shares	769648106	American	3.071	1.429	5.5	U.S. Public	8	7	1100000	8.3	1010000		6/2/97 0:00		90		No	No	No			1	1	1	6.75		84649	76964810	RIVIERA TOOL COMPANY	RTC	3/4/97	6.5	RIVIERA TOOL CO	3/5/97	1	7.5	2.551020408	4.591836735	1.020408163	0.510204082	199	0.010050251	0	0.015075377	0.010050251	0.010050251	0.005025126	0	0	-0.071428571
10/16/96	2/3/97	ErgoBilt Inc	2522	ERGB	CRUTTENDEN-ROTH	0.56	8	11.9	7	Common Shares	29481R107	Nasdaq	1.857	1.857	4.28571	U.S. Public	10	8	2000000	18	1700000		8/2/97 0:00		180		No	No	No			1	1	2	7.06		84421	29481R10	ERGOBILT INC	ERGB	1/31/97	7.5	ERGOBILT INC	2/3/97	3	9	0.438596491	3.947368421	0	0	229	0	0.008733624	0.03930131	0.004366812	0.021834061	0	0.017467249	0	0.071428571
10/21/96	1/29/97	Photoelectron Corp	3845	PECX	NEEDHAM	0.595	7	17	8.5	Common Shares	719320103	Nasdaq	1.294	1.941	3.76471	U.S. Public	13	11	2000000	24	2000000		7/28/97 0:00		180	4221130	No	No	No			1	1	2	8.25		84434	71932010	PHOTOELECTRON CORP	PECX	1/29/97	8.25	PHOTOELECTRON CORP	1/29/97	0	12	0	1.169590643	0.584795322	0.584795322	173	0	0.005780347	0.052023121	0.005780347	0.023121387	0	0.01734104	0	-0.029411765
10/23/96	6/18/97	ARM Financial Group Inc	9311	ARM	MS	1.05	7	96	15	Class A Shares	1944104	American	1.4	1.4	4.2	U.S. Public					4600000	1800000					No	No	No			1	1	3	18.88		85055	194410	A R M FINANCIAL GROUP INC	ARM	6/19/97	18.875	ARM FINANCIAL GROUP INC	6/20/97	1	0	1.639344262	1.639344262	0	0	61	0	0.032786885	0.032786885	0	0.032786885	0.016393443	0	0	0.258333333
10/23/96	6/18/97	ARM Financial Group Inc	9311	ARM	MS	1.05	7	96	15	Class A Shares	1944104	American	1.4	1.4	4.2	U.S. Public					4600000	1800000					No	No	No			1	1	3	18.88		85055	194410	A R M FINANCIAL GROUP INC	ARM	6/19/97	18.875	ARM FINANCIAL GROUP INC	6/20/97	1	0	1.639344262	1.639344262	0	0	61	0	0.032786885	0.032786885	0	0.032786885	0.016393443	0	0	0.258333333
10/29/96	11/7/97	Bright Horizons Holdings Inc	8351	BRHZ	BT-ALEX-BROWN	0.91	7	38.6	13	Common Shares	109190108	Nasdaq	1.462	1.538	4	U.S. Public				23	1350000	1620000	5/6/98 0:00		180		No	No	Yes			1	1	2	17		85531	10919510	BRIGHT HORIZONS INC	BRHZ	11/7/97	17	BRIGHT HORIZONS INC	11/7/97	0	0	1.612903226	6.85483871	0.403225806	0	249	0	0.004016064	0.02811245	0	0.008032129	0	0.004016064	0	0.307692308
10/30/96	1/22/97	CD Warehouse Inc	5735	CDWI	CAPITAL-WEST	0.5	10	5	5	Common Shares	12512W105	Nasdaq	Comb.	Comb.	5	U.S. Public	7	5	1000000	6	1000000		1/22/99 0:00		730		No	No	No			1	1	3	4.88		84412	12512W10	CD WAREHOUSE INC	CDWI	1/22/97	4.875	CD WAREHOUSE INC	1/22/97	0	6	1.904761905	3.80952381	0	3.80952381	106	0	0	0.066037736	0.009433962	0.009433962	0	0	0	-0.025
11/1/96	2/4/97	Aastrom Biosciences Inc	2836	ASTM	COWEN	0.49	7	21	7	Common Shares	00253U107	Nasdaq	1.429	1.714	3.85714	U.S. Public	10	8	3250000	29.3	3000000		8/3/97 0:00		180		No	No	Yes			1	1	2	7		84511	92346J10	AASTROM BIOSCIENCES INC	ASTM	2/4/97	7	VERICEL CORP	2/4/97	0	9	0	2.941176471	0.735294118	2.205882353	139	0.007194245	0	0.043165468	0.014388489	0.007194245	0.014388489	0.021582734	0	0
11/4/96	2/7/97	General Bearing Corp	3562	GNRL	MEYERS	0.63	9	6.3	7	Common Shares	369147103	Nasdaq	2.286	2.143	4.57143	U.S. Public	10	8	1000000	9	900000						No	No	No			1	1	1	7.13		84536	36914710	GENERAL BEARING CORP	GNRL	2/10/97	7.125	GENERAL BEARING CORP	2/10/97	0	9	1.117318436	1.955307263	0.837988827	3.631284916	363	0.002754821	0.013774105	0.03030303	0.005509642	0.013774105	0.019283747	0.005509642	0	0.017857143
11/6/96	7/2/97	8x8 Inc	4813	EGHT	MONTGOMERY	0.455	7	23.4	6.5	Common Shares	282912104	Nasdaq	1.538	1.615	3.84615	U.S. Public	10	8	2500000	22.5	3600000		12/29/97 0:00		180		No	No	No			1	1	2	7.13		85177	28291410	8X8 INC	EGHT	7/2/97	7.125	8X8 INC /DE/	7/2/97	0	9	1.204819277	4.819277108	0	3.614457831	84	0	0	0.023809524	0.011904762	0.023809524	0.011904762	0	1	0.096153846
11/7/96	2/5/97	Yurie Systems Inc	3669	YURI	ALEX-BROWN	0.84	7	48	12	Common Shares	98871Q102	Nasdaq	1.417	1.667	3.91667	U.S. Public	11.5	9.5	4000000	42	4000000		8/4/97 0:00		180	20935300	No	No	No			1	1	2	15.13		84570	98871Q10	YURIE SYSTEMS INC	YURI	2/5/97	15.125	YURIE SYSTEMS INC	2/6/97	1	10.5	4	2.666666667	0	1.333333333	76	0	0	0.026315789	0.013157895	0.039473684	0.013157895	0	0	0.260416667
11/8/96	1/21/97	EarthLink Network Inc	7375	ELNK	INVEMED	0.91	7	26	13	Common Shares	270322100	Nasdaq	1.538	1.615	3.84615	U.S. Public				34.5	2000000		1/16/98 0:00		360	9516857	No	No	Yes			1	1	1	7		84418	27032210	EARTHLINK NETWORK INC	ELNK	1/22/97	13	EARTHLINK NETWORK INC	1/22/97	0	0	0.651465798	4.560260586	0.651465798	2.605863192	310	0	0.003225806	0.029032258	0.003225806	0.016129032	0.006451613	0.019354839	0	0
11/12/96	2/13/97	Advanced Electronic Support	3577	AESP	ARGENT-SECS	0.6	10	4.8	6	Common Shares	7534100	Sm Cap Mkt	Comb.	Comb.		U.S. Public	5	5	750000	3.8	800000		2/13/99 0:00		730		No	No	No			1	2	2	7.25		84509	00104G10	ADVANCED ELECTRONIC SUP PROD IN	AESP	2/13/97	7.25	AESP INC	2/18/97	5	5	0.485436893	4.126213592	0	1.941747573	414	0.012077295	0.009661836	0.016908213	0.004830918	0.009661836	0.007246377	0.009661836	0	0.208333333
11/20/96	5/21/97	Summit Holding Southeast Inc	8741	SHSE	RAYMOND	0.77	7	44.7	11	Common Shares	866078108	OTC	1.455	1.455	4.09091	U.S. Public	13	11	5000000	60	4061013		11/17/97 0:00		180		No	No	No			1	1	2	14.13		84830	86607810	SUMMIT HOLDING SOUTHEAST INC	SHSE	5/22/97	14.125	SUMMIT HOLDING SOUTHEAST INC	5/22/97	0	12	0	1.25	0	0	80	0	0.0125	0.0375	0	0.0375	0	0.05	0	0.284090909
11/21/96	1/29/97	Metro Information Services Inc	7371	MISI	BAIRD	1.12	7	49.6	16	Common Shares	59162P104	Nasdaq	1.438	1.375	4.1875	U.S. Public	14	12	3100000	40.3	2300000	800000	7/28/97 0:00		180		No	No	No			1	1	3	19.5		84428	59162P10	METRO INFORMATION SERVICES INC	MISI	1/30/97	19.5	METRO INFORMATION SERVICES INC	1/30/97	0	13	1.234567901	3.086419753	0	2.469135802	164	0	0	0.036585366	0	0.012195122	0.018292683	0.006097561	0	0.21875
